Classification,,Case Number,Date Reported,Date Occurred,Time Occurred,General Location,Campus?,Disposition
2020,,,,,,,,
"",,,,,,,,
Drug Law Violation,,FC2020-05097,11/19/2020,11/19/2020,21:08,Westminster Hall,No,Suspended
Drug Law Violation,,FC2020-05091,11/19/2020,11/19/2020,10:32,Cumberland Hall,No,Closed
Assault,,FC2020-04977,11/10/2020,11/10/2020,20:36,Gunter Lot,No,Closed
Drug Law Violation,,FC2020-04910,11/6/2020,11/6/2020,19:45,Annapolis Hall,No,Arrest
Drug Law Violation,,FC2020-04898,11/6/2020,11/6/2020,11:51,Annapolis Hall,No,Closed
Destruction of Property,,FC2020-04873,11/5/2020,11/5/2020,15:03,Annapolis Hall,No,Suspended
Burglary,,FC2020-04851,11/4/2020,11/4/2020,21:25,Cumberland Hall,No,Arrest
Drug Law Violation,,FC2020-04709,10/27/2020,10/27/2020,18:48,New Residence Hall,No,Suspended
Distruction of Property,,FC2020-04602,10/21/2020,10/21/2020,10:25,State Street Lot,No,Suspended
Drug Law Violation,,FC2020-04572,10/18/2020,10/18/2020,21:31,State Street Lot,No,Closed
Traffic Arrest,,FC2020-04544,10/17/2020,10/17/2020,1:55,Park Avenue,Yes,Arrest
Theft -Misdemeanor,,FC2020-04531,10/16/2020,10/16/2020,11:21,University Police,No,Closed
Liquor Law Violation,,FC2020-04444,10/11/2020,10/11/2020,2:13,Annapolis Hall,No,Arrest
Theft -Misdemeanor,,FC2020-04368,10/6/2020,10/6/2020,14:41,University Police,No,Suspended
Drug Law Violation,,FC2020-04327,10/4/2020,10/4/2020,3:00,Cumberland Hall,No,Closed
Drug Law Violation,,FC2020-04270,9/30/2020,9/30/2020,21:44,Allen Hall,No,Closed
Death Investigation,,FC2020-04253,9/29/2020,9/29/2020,13:05,Sowers Hall,No,Open
Drug Law Violation,,FC2020-04189,9/25/2020,9/25/2020,19:30,University Police,No,Closed
Drug Law Violation,,FC2020-04085,9/19/2020,9/19/2020,23:53,Gray Hall,No,Closed
Drug Law Violation,,FC2020-04048,9/17/2020,9/17/2020,23:12,Westminster Hall,No,Closed
Liquor Law Violation,,FC2020-03961,9/12/2020,9/12/2020,23:05,New Residence Hall,No,Arrest
Liquor Law Violation,,FC2020-03958,9/12/2020,9/12/2020,21:07,Frederick Hall,No,Arrest
Drug Law Violation,,FC2020-03950,9/12/2020,9/12/2020,13:35,Simpson Hall,No,Closed
Drug Law Violation,,FC2020-03940,9/12/2020,9/12/2020,1:19,Frederick Hall,No,Arrest
Classification,Case Number,Date Reported,Date Occurred,Time Occurred,General Location,Campus?,Disposition
Drug Law Violation,FC2020-03938,9/12/2020,9/12/2020,4:08,Frederick Hall,No,Closed
Liquor Law Violation,FC2020-03936,9/11/2020,9/11/2020,22:55,Frederick Hall,No,Arrest
Liquor Law Violation,FC2020-03935,9/11/2020,9/11/2020,22:15,Frederick Hall,No,Arrest
Drug Law Violation,FC2020-03933,9/11/2020,9/11/2020,20:40,Sowers Hall,No,Arrest
Theft -Misdemeanor,FC2020-03886,9/9/2020,9/9/2020,23:12,Cumberland Hall,No,Suspended
Destruction of Property,FC2020-03872,9/9/2020,9/9/2020,3:13,Edgewood Lot,No,Arrest
Alcohol Violation,FC2020-03805,9/5/2020,9/5/2020,1:25,Annapolis Hall,No,Arrest
Drug Law Violation,FC2020-03802,9/4/2020,9/4/2020,22:44,Simpson Hall,No,Arrest
Drug Law Violation,FC2020-03775,9/3/2020,9/3/2020,10:25,New Residence Hall,No,Suspended
Drug Law Violation,FC2020-03742,9/1/2020,9/1/2020,17:13,University Drive,No,Arrest
Drug Law Violation,FC2020-03698,8/29/2020,8/29/2020,22:11,Simpson Hall,No,Arrest
Hit and Run,FC2020-03672,8/28/2020,8/28/2020,12:08,Edgewood Lot,No,Suspended
Drug Law Violation,FC2020-03640,8/26/2020,8/26/2020,21:00,Edgewood Commons,No,Arrest
Drug Law Violation,FC2020-03569,8/23/2020,8/23/2020,1:08,Frederick Hall,No,Closed
Alcohol Violation,FC2020-03544,8/22/2020,8/22/2020,1:07,Maple Street Frostburg,Yes,Arrest
Alcohol Violation,FC2020-03542,8/21/2020,8/21/2020,23:20,Charles Street Frostburg,Yes,Arrest
Tampering W/Fire Equip,FC2020-03537,8/21/2020,8/21/2020,22:11,Frost Hall,No,Suspended
Harrassment,FC2020-03507,8/20/2020,8/20/2020,13:43,Annapolis Hall,No,Closed
Hit and Run,FC2020-03432,8/16/2020,8/16/2020,13:11,Cordts P.E. Center,No,Arrest
Drug Law Violation,FC2020-03378,8/13/2020,8/13/2020,20:21,Edgewood Commons,No,Closed
Distruction of Property,FC2020-03306,8/7/2020,8/7/2020,7:44,Guild Center,No,Suspended
Hit and Run,FC2020-03158,7/24/2020,7/24/2020,16:07,Pullen Hall,No,Suspended
Fraud,FC2020-02877,6/29/2020,6/29/2020,14:27,University Police,No,Open
Fraud,FC2020-02837,6/26/2020,6/26/2020,15:20,Off Campus,Yes,Suspended
Indecent Exposure,FC2020-02813,6/24/2020,6/24/2020,20:24,Compton Hall,No,Suspended
Drug Law Violation,FC2020-02785,6/22/2020,6/22/2020,19:48,University Police,No,Closed
