"Nature(Classification)","CaseNumber","DateReported","DateOccurred",Time,General Location,"OffCampus(Y or N)",Disposition
Unlawful Entry,2100618,09/01/2021,09/01/2021,0222,2028 G Street Garage/LLC,N,Closed. Subject arrested.
"Threats in a MenacingManner",2100624,09/03/2021,09/03/2021,0007,West Hall,N,Open case.
Fraud 1D/Fraud,2100628,09/03/2021,Unknown,Unknown,Off Campus,N,Open case.
Liquor Law Violation,2100631,09/04/2021,09/04/2021,0010,Mitchell Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100632,09/04/2021,09/04/2021,0032,"Public Property on Campus(2100 Block of H Street N.W.)",N,Closed. Referred to DSA.
Liquor Law Violation,2100641,09/05/2021,09/05/2021,0009,District House,N,Closed. Referred to DSA.
Liquor Law Violation,2100642,09/06/2021,09/06/2021,0217,Amsterdam Hall,N,Closed. Referred to DSA.
Public Drunkeness,2100644,09/05/2021,09/05/2021,0248,"Public Property on Campus(2200 Block of H Street N.W.)",N,Closed. Referred to DSA.
Liquor Law Violation,2100650,09/06/2021,09/06/2021,0308,MVC,N,Closed. Referred to DSA.
Theft II/Bicycles,2100655,09/06/2021,Unknown,Unknown,"MVC(Garage)",N,Open case.
"Harassment (Verbal orWritten)",2100659,09/07/2021,09/07/2021,1910,"Public Property on Campus(2200 Block of I Street, N.W.)",N,Open Case.
"Harassment (Verbal orWritten)",2100660,09/07/2021,09/07/2021,1945,"Public Property on Campus(2200 Block of I Street, N.W.)",N,Closed. No identifiable suspect.
Blackmail,2100671,09/09/2021,Multiple,Multiple,University Student Center,N,Open case.
Simple Assault,2100672,09/09/2021,09/09/2021,1846,District House,N,Closed. No identifiable suspect.
Liquor Law Violation,2100673,09/10/2021,09/10/2021,1058,JBKO Hall,N,Closed. Referred to DSA.
Theft II/Bicycles,2100676,09/10/2021,Unknown,Unknown,"Public Property On Campus(2300 Block of H Street, N.W.)",N,Closed. No identifiable suspect.
"Fraud, Harassing PhoneCalls, Stalking",2100677,09/10/2021,Multiple,Multiple,Off Campus,Y,Open case.
Liquor Law Violation,2100678,09/10/2021,09/10/2021,2338,Shenkman Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100681,09/11/2021,09/11/2021,0524,JBKO Hall,N,Closed. Referred to DSA.
Voyeurism,2100686,09/08/2021,09/03/2021,1210-1215,Science and Engineering Hall,N,Open case.
"Sexual Assault, HarassingTelephone Calls",2100688,09/12/2021,09/12/2021,0355,Amsterdam Hall,N,Open case.
Stalking,NA-24-2021,09/13/2021,Unknown,Unknown,Various Locations,N,Closed. No further action.
"Harassing Telephone Calls,Harassment (Verbal orWritten)",2100693,09/13/2021,09/13/2021,Multiple,Stuart Hall,N,Open case.
Theft I/Bicycles,2100695,09/13/2021,09/13/2021,0935-1400,"Public Property On Campus(600 Block of 22nd Street, N.W.)",N,Closed. No suspects or witnesses
"Harassment (Verbal orWritten)",2100697,09/14/2021,09/14/2021,0201,Mitchell Hall,N,Open case.
Theft II/From Building,2100699,09/14/2021,09/14/2021,1225-1320,Elliot School Of International Affairs,N,Reclassfied. Non-Crime
Theft II/From Building,2100700,09/14/2021,Unknown,Unknown,"West Hall(Pelham Commons)",N,Open case.
"Urinating or Defecating inPublic",2100701,09/15/2021,09/15/2021,0109,University Mall,N,Closed. Subject barred.
Sexual Assault,2100702,09/14/2021,09/09/2021,Unknown,Mitchell Hall,N,Open case.
Threats to do Bodily Harm,2100703,09/15/2021,09/15/2021,0730,"Public Property On Campus(2200 Block of H Street, N.W.)",N,Open case.
Theft II/Other,2100709,09/15/2021,Unknown,Unknown,"Mount Vernon Campus(West Hall Loading Dock)",N,Open case.
Theft II/Bicycles,2100712,09/15/2021,09/15/2021,1715-1920,"Public Property On Campus(2200 Block of Eye Street, N.W.)",N,Open case.
"Theft II/Bicycles,Destruction of Property",2100713,09/15/2021,09/15/2021,1730-2140,University Yard,N,Open case.
"Assault w/DangerousWeapon",2100719,09/17/2021,09/17/2021,0758,"Gelman Library(Starbucks)",N,Closed. Subject arrested.
Theft II/Other,2100723,09/17/2021,09/17/2021,1600-0645,"Public Property on Campus(800 Block of H Street N.W.)",N,Open case.
Stalking,2100724,09/17/2021,09/16/2021,1535,Elliot School of International Affairs,N,Open case.
Theft II/.From Building,2100727,09/17/2021,09/17/2021,2021,"Mitchell Hall(7-Eleven Store)",N,Open case.
Theft II/.From Building,2100728,09/17/2021,09/17/2021,2217,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject arrested.
Liquor Law Violation,2100729,09/18/2021,09/18/2021,0048,"Public Property on Campus(2200 Block of F Street N.W.)",N,Closed. Referred to DSA.
"Liquor Law Violation,DisorderlyConduct/Intoxication",2100730,09/18/2021,09/18/2021,0018,Strong Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100731,09/18/2021,09/18/2021,0025,Mitchell Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100732,09/17/2021,09/17/2021,2342,Amsterdam l Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100736,09/19/2021,09/19/2021,0127,Mitchell Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100738,09/19/2021,09/19/2021,0034,Madison Hall,N,Closed. Referred to DSA
