NATURES OF CRIMES,CASE NUMBERS,DATE/TIME REPORTED,DATE/TIME OCCURRED
Fire Alarm Activation,18-0029,1/7/18 12:59pm,1/7/18 12:59am,College Hall South
Hazardous Water Leak,18-0030,1/7/18 1:20am,1/7/18 1:20am,Academic A
Robbery Snatch,18-0031,1/7/18 2:00am,1/7/18 2:00am,Cook Hall
Sick Person,18-0032,1/7/18 2:04nam,1/7/18 2:04am,College Hall South
Sick Person,18-0033,1/7/18 9:21am,1/7/18 9:20am,Plaza Towers
Fire Alarm Activation,18-0034,1/7/18 9:39am,1/7/18 9:39am,Social Work
Found Property,18-0035,1/7/18 12:02pm,1/7/18 7:31am,HU Hospital
Hazardous Water Leak,18-0036,1/7/18 12:40pm,1/7/18 12:25pm,Social Work
Sick Person,18-0037,1/7/18 12:51pm,1/7/18 12:50pm,Quadrangle Hall
Theft from Auto,18-0038,1/7/18 7:35pm,1/7/18 7:16pm,6th & College St. NW
Fire Alarm Activation,18-0039,1/7/18 9:05pm,1/7/18 4:33pm,HU Hospital
Fire Alarm Activation,18-0040,1/7/18 9:42pm,1/7/18 9:42pm,Mudd Building
Hazardous Water Leak,18-0041,1/7/2018 1:07am,1/7/18  1:07am,Dental School
Injured Person,18-0042,1/8/18 2:24am,1/8/2018  2:20am,College Hall North
Hazardous Water Leak,18-0043,1/8/18 8:23am,1/8/18 8:20am,School of Business
Hazardous Water Leak,18-0044,1/8/18 1:17pm,1/8/18 12:17pm,Academic B
Vehicle Accident,18-0045,1/8/18 3:43pm,1/8/18 3:40pm,4th & Bryant St. NW /Corner
Hazardous Water Leak,18-0046,1/8/18 5:21pm,1/8/18 5:20pm,C.B. Powell Building
Student Misconduct,18-0047,1/8/18 6:00pm,1/8/18 6:00pm,Physic Building
Hazardous Water Leak,18-0048,1/9/18 12:26m,1/9/18 12:26am,Howard Center
Miscellaneous,18-0049,1/9/18 1:03am,1/9/18 12:36am,HU Hospital
Fire Alarm Activation,18-0050,1/9/18 3:57am,1/9/18 3:57am,Mudd Building
Hazardous Water Leak,18-0051,1/9/18 10:33am,1/9/18 8:20am,Blackburn Center
Lost Property,18-0052,1/9/18 9:54pm,1/9/18 9:50am,College Hall North
Hazardous Water Leak,18-0053,1/9/18 9:07am,1/9/18 9:07am,Academic A
Hazardous Water Leak,18-0054,1/9/18 10:14am,1/9/18 10:14am,Rankin Chapel
Fire Alarm Activation,18-0055,1/9/18 9:13am,1/9/18 9:13am,Chemistry Building
Hazardous Water Leak,18-0056,1/9/18 11:03am,1/9/18 11:03am,Stokes Library
Fire Alarm Activation,18-0057,1/9/18 11:10am,1/9/18 11:10am,Mudd Building
Hazardous Odor,18-0058,1/9/18 12:43pm,1/9/18 12:40pm,Mudd Building
Theft 1,18-0059,1/9/18 1:27pm,1/9/18 1:27pm,Burr Gym
Burglary 2,18-0060,1/9/18 1:49pm,1/9/18 1:49pm,Plaza Towers
Theft from Auto,18-0061,1/9/18 3:40pm,1/9/18 3:40pm,Drew Hall
Hazardous Water Leak,18-0062,1/8/18 6:01pm,1/8/18 5:25pm,West Campus
Hazardous Water Leak,18-0063,1/9/18 2:20pm,1/9/18 2:20pm,Chemistry Building
Suspicious Odor,18-0064,1/9/18 9:53pm,1/9/18 9:53pm,Bethune Annex
Fire Alarm Activation,18-0065,1/10/18 1:29am,1/10/18 1:29am,Chemistry Building
Theft 2,18-0066,1/10/18 8:56am,1/10/18 8:46am,HU Hospital
Simple Assault,18-0067,1/10/18 9:55am,1/10/18 9:55am,Service Center
Theft from Auto,18-0068,1/10/18 10:36am,1/10/18 10:36am,Service Center
Lost Property,18-0069,1/10/18 11:17am,1/10/18 11:17am,Howard Plaza Towers West
Hazardous Water Leak,18-0070,1/10/18 5:09pm,1/10/18 5:09pm,Burr Gym
Miscellaneous,18-0071,1/11/18 12:45pm,1/11/18 7:45am,HU Hospital
Barring Notice,18-0072,1/11/18 2:08pm,1/11/18 2:08pm,Service Center
Burglary 2,18-0073,1/11/18 4:02pm,1/11/18 4:02pm,Howard Plaza Towers West
Fraud,18-0074,1/11/18 3:55pm,1/11/18 3:55pm,College Hall South
Destruction of Property,18-0075,1/11/18 5:29pm,1/11/18 5:29pm,4th Street front of Quad.
Fire Alarm Activation,18-0076,1/12/18 1:04pm,1/12/18 1:04pm,Rankin Chapel
Fire Alarm Activation,18-0077,1/12/18 8:18am,1/12/18 8:18am,Bethune Annex
Unlawful Entry,18-0078,1/12/18 12:37pm,1/12/18 12:37pm,Howard Plaza Towers West
Lost Property,18-0079,1/12/18 1:05pm,1/12/18 1:05pm,HU Hospital
Barring Notice,18-0080,1/12/18 2:34pm,1/12/18 2:34pm,Howard Plaza Towers West
Suspicious Odor,18-0081,1/12/18 2:22pm,1/12/18 2:22pm,Bethune Annex
Hazardous Water Leak,18-0082,1/13/18 12:06am,1/13/18 12:06am,Fine Arts Building
Hazardous Water Leak,18-0083,1/13/18 2:25am,1/13/18 2:25am,Burr Gym
Hazardous Water Leak,18-0084,1/13/18 6:04am,1/13/18 6:04am,HU Hospital
Hazardous Water Leak,18-0085,1/13/18 2:10pm,1/13/18 1:50pm,Fine Arts Building
Hazardous Water Leak,18-0086,1/13/18 6:46pm,1/13/18 6:30pm,C.B. Powell Building
Fire Alarm Activation,18-0087,1/13/18 5:51pm,1/13/18 5:42pm,Quadrangle Hall
Fire Alarm Activation,18-0088,1/13/18  9:15pm,1/13/18 9:15pm,Architect & Planning
Injured Person,18-0089,1/14/18 10:27am,1/14/18 10:27am,Cramton Auditorium
Fire Alarm Activation,18-0090,1/14/18 11:05am,1/14/18 11:05am,Howard Plaza Towers West
Fire Alarm Activation,18-0091,1/14/18 1:58pm,1/14/18 1:58pm,Quadrangle Hall
Hazardous Water Leak,18-0092,1/14/18 9:57pm,1/14/18 9:57pm,HU Hospital
Hazardous Water Leak,18-0093,1/15/18 1:41pm,1/15/18 1:41am,Dental School
Miscellaneous,18-0094,1/15/18 6:12pm,1/15/18 6:12pm,Quadrangle Hall
Hazardous Water Leak,18-0095,1/16/18 3:56am,1/16/18 3:56am,Biology Building
Theft from Auto,18-0096,1/16/18 11:22am,1/16/18 11:22am,Off Campus
Simple Assault,18-0097,1/16/18 4:05pm,1/16/18 4:05pm,Off Campus
Lost Property,18-0098,1/16/18 5:44pm,1/16/18 4:57pm,Off Campus
Sick Transport,18-0099,1/16/18 3:27pm,1/16/18 3:27pm,Medical Arts Building
Verbal Dispute,18-0100,1/17/18 1:07am,1/17/18 1:05am,Drew Hall
Sick Person,18-0101,1/17/18 9:19am,1/17/18 9:17am,Bookstore
Injured Person,18-0102,1/17/18 9:01am`,1/17/18 9:01am`,Lower Campus
Theft 1,18-0103,1/17/18 4:23pm,1/17/18 4:23pm,Dental School
Sick Person,18-0104,1/17/18 5:22pm,1/17/18 5:22pm,Middle School
Hazardous Water Leak,18-0105,1/17/18 6:33pm,1/17/18 6:33pm,Fine Arts Building
Sick Person,18-0106,1/17/18 6:53pm,1/17/18 6:53pm,College Hall South
Fire Alarm Activation,18-0107,1/17/18 10:03pm,1/17/18 10:03pm,Quadrangle Hall
Vehicle Accident,18-0108,1/18/18 6:32am,1/18/18 6:32am,Lower Campus
Theft from Auto,18-0109,1/18/18 10:42am,1/18/18 10:42am,Banneker South Parking Lot
Vehicle Accident,18-0110,1/18/18 11:14am,1/18/18 11:14am,Off Campus
Injured Person,18-0111,1/18/18 11:33am,1/18/18 11:33am,International Affairs Lot
Damaged Property,18-0112,1/18/18 12:51pm,1/18/18 12:20pm,Burr Gym
Suspicious Package,18-0113,1/18/18 2:53pm,1/18/18 2:53pm,Admin. Building
Damaged Property,18-0114,1/18/18 5:13pm,1/18/18 5:13pm,HU Hospital
Lost Property,18-0115,1/18/18 5:34pm,1/18/18 5:34pm,College Hall South
Vehicle Accident,18-0116,1/19/18 9:44am,1/19/18 9:06am,HU Hospital
Barring Notice,18-0117,1/19/18 10:51am,1/19/18 10:51am,Service Center
Miscellaneous,18-0118,1/19/18 11:42am,1/19/18 11:42am,Middle School
Theft 2,18-0119,1/19/18 11:59am,1/19/18 11:59am,College Hall South
Injured Person,18-0120,1/19/18 3:32pm,1/19/18 3:32pm,C.B. Powell Building
Theft from Auto,18-0121,1/19/18 8:18pm,1/19/18 8:18pm,HU Hospital
Sick Transport,18-0122,1/19/18 10:47pm,1/19/18 10:47pm,School of Business
Unlawful Entry,18-0123,1/20/18 1:42am,1/20/18 1:42am,Pharmacy Building
Damaged Property,18-0124,1/20/18 10:40am,1/20/18 10:40am,Pharmacy Building
