NATURES OF CRIMES,"CASENUMBERS","DATE/TIMEREPORTED",DATE/TIME OCCURRED,GENERAL LOCATION
Student Misconduct,17-0029,1/8/2017 8:18pm,1/8/2017 8:18pm,Cook Hall,Active
Verbal Dispute,17-0030,1/9/2017 1:08am,1/9/2017 1: 08am,Plaza Towers,Active
Theft from Auto,17-0031,1/9/2017 10:11am,1/9/2017 10:11am,Cook Hall,Active
Fire Alarm Activation,17-0032,1/9/2017 12:41am,1/9/2017 12:41am,Stokes Library,Inactive
Threats,17-0033,1/9/2017 1:35pm,1/9/2017 1:35pm,Douglass Hall,Active
Student Misconduct,17-0034,1/9/2017 2:08pm,1/9/2017 2:08pm,Bethune Hall,Active
Sexual Assault,17-0035,1/9/2017 3:14pm,1/9/2017 3:14pm,Off Campus,Active
Theft from Auto,17-0036,1/9/2017 5:24PM,1/9/2017 5:24PM,Off Campus,Active
Sick Person,17-0037,1/9/2017 8:22PM,1/9/2017 5:00PM,HU Hospital,Inactive
Fire Alarm Activation,17-0038,1/9/2017 7:39pm,1/9/2017 7:39pm,Quadrangle Hall,Inactive
Fire Alarm Activation,17-0039,1/9/2017 9: 55pm,1/9/2017 9: 55pm,Pharmacy Bldg.,Inactive
Theft from Auto,17-0040,1/10/2017 2:15pm,1/10/2017 2:15pm,5th & W St. NW,Active
Miscellaneous,17-0041,1/10/2017 2:55pm,1/5/2017 11:41am,HU Hospital,Inactive
Injured Person,17-0042,1/10/2017 4:16pm,1/10/2017 4:15pm,Burr Gym,Active
Theft from Auto,17-0043,1/10/2017 4:37pm,1/10/2017 3:45pm,400 blk of College St NW,Active
Hazardous Water Leak,17-0044,1/10/2017 6:16pm,1/10/2017 6:05pm,Mudd Bldg.,Inactive
Fire Alarm Activation,17-0045,1/10/2017 8:38pm,1/10/ 2017 8:38pm,Pharmacy Bldg.,Inactive
Theft II,17-0046,1/10/2017 6:55pm,1/10/2017 6:55pm,College Hall South,Active
Lost Property,17-0047,1/11/2017 5:40AM,1/11/2017 4:45AM,HU Hospital,Inactive
Hazardous Water Leak,17-0048,1/11/2017 7:41am,1/11/2017 7:00am,A-1 garage,Inactive
Damaged Property,17-0049,1/11/2017 10:40am,1/11/2017 10:40am,Annex 1,Inactive
Injured Person,17-0050,1/11/2017 1:10pm,1/11/2017 2:25pm,HU Hospital,Active
Fire Alarm Activation,17-0051,1/11/2017 2:24pm,1/11/2017 2:24pm,Quadrangle Hall,Inactive
Fire Alarm Activation,17-0052,1/11/2017 4:17pm,1/11/2017 4:17pm,College Hall South,Inactive
Miscellaneous,17-0053,1/11/2017 5:26pm,1/11/2017 1:10pm,Plaza Towers,Inactive
Destruction of Property,17-0054,1/11/2017 8:55pm,1/11/2017 8:55pm,HU Hospital,Active
Attempted Suicide,17-0055,1/11/2017 10:16pm,1/11/2017 10:16pm,HU Hospital,Active
Sick Person,17-0056,1/11/2017 10:23pm,1/11/2017 5:00pm,HU Hospital,Inactive
Found Property,17-0057,1/11/2017 9:54pm,1/11/2017 9:45pm,C.B. Powell,Inactive
Threats,17-0058,1/12/2017 11:31am,1/12/2017 11:31am,HU Service Center,Active
Simple Assault,17-0059,1/12/2017 11:44am,1/12/2017 11:44am,Bethune Annex,Active
Sick Person,17-0060,1/12/2017 4:02pm,1/12/2017 3:15pm,Biology Bldg.,Inactive
Lost Property,17-0061,1/12/2017 4:21pm,1/12/2017 4:21pm,On Campus,Inactive
Fire Alarm Activation,17-0062,1/12/2017 9:38pm,1/12/2017 9:17pm,HU Hospital,Inactive
Fire Alarm Activation,17-0063,1/12/2017 10:15pm,1/12/2017 10:15pm,College Hall South,Inactive
Sick Person,17-0064,1/12/2017 10:55pm,1/12/2017 9:40pm,HU Hospital,Inactive
Fire Alarm Activation,17-0065,1/13/2017 1:43am,1/13/2017 2:26am,HURB-1,Inactive
Unlawful Entry,17-0066,1/13/2017 2:13AM,1/13/2017 2:13AM,Bethune Hall,Active
Theft from Auto,17-0067,1/13/2017 10:41am,1/13/2017 10:35am,Burr Gym,Active
Fire Alarm Activation,17-0068,1/13/2017 12:30pm,1/13/2017 12:30pm,HU Hospital,Inactive
Sick Person,17-0069,1/13/2017 4:22pm,1/13/2017 4:22pm,Student Health Clinic,Inactive
Sick Person,17-0070,1/13/2017 8:55pm,1/13/2017 8:50pm,HU Hospital,Inactive
Disorderly Conduct,17-0071,1/14/2017 5:40am,1/13/2017 5:40am,Off Campus,Active
Miscellaneous,17-0072,1/14/2017 2:13pm,1/14/2017 2:13pm,HU Hospital,Inactive
Sick Person,17-0073,1/14/2017 6:03pm,1/14/2017 4:56pm,HU Hospital,Inactive
Lost Property,17-0074,1/14/2017 8:53PM,1/14/2017 6:38PM,HU Hospital,Inactive
Sick Person,17-0075,1/14/2017 9: 10pm,1/14/2017 9:04pm,HU Hospital,Inactive
Student Misconduct,17-0076,1/14/2017 10:34pm,1/14/2017 10:35pm,Plaza Towers,Active
Found Property,17-0077,1/15/2017 5:33pm,1/15/2017 5:33pm,Engineering Building,Inactive
Sick Person,17-0078,1/15/2017 9:56pm,1/15/2017 9:56pm,HU Hospital,Inactive
Sick Person,17-0079,1/16/2017 12:13am,1/16/2017 12:13am,Quadrangle Hall,Inactive
Miscellaneous,17-0080,1/16/2017 8:52am,1/16/2017 8:52am,HU Hospital,Inactive
Shoplifting,17-0081,1/16/2017 5:33pm,1/16/2017 4:22pm,HU Hospital,Active
Fire Alarm Activation,17-0082,1/16/2017 11:01pm,1/16/2017 11:01pm,Bethune Annex,Inactive
Damaged Property,17-0083,1/17/2017 2:49am,1/17/2017 2:49am,Locke Hall,Inactive
Theft 2,17-0084,1/17/2017 9:05am,1/17/2017 8:15am,HU Hospital,Active
Injured Person,17-0085,1/17/2017 12:00pm,1/17/2017 12:06pm,Founders Library,Active
Lost Property,17-0086,1/17/2017 2:53pm,1/17/2017 2:53pm,College of Denistry,Inactive
Sick Person,17-0087,1/17/2017 3:35pm,1/17/2017 3:20pm,HU Hospital,Inactive
Sick Person,17-0088,1/17/2017 6:04pm,1/17/2017 6:03pm,HU Hospital,Inactive
Damaged Property,17-0089,1/17/2017 7:16pm,1/17/2017 7:20pm,2200 blk of 6th St NW,Inactive
Theft from Auto,17-0090,1/17/2017 7:44pm,1/17/2017 6:30pm,2200 6th St NW,Active
Sick Person,17-0091,1/18/2017 1:12pm,1/18/2017 1:00am,HU Hospital,Inactive
Miscellaneous,17-0092,1/18/2017 11:17am,1/18/2017 11:26am,Fine Arts,Inactive
Lost Property,17-0093,1/18/2017 12:58pm,1/18/2017 12:58pm,Mudd Building,Inactive
Vehicle Accident,17-0094,1/18/2017 2:53pm,1/18/2017 2:58pm,Burr Gym,Active
Simple Assault,17-0095,1/18/2017 2:49pm,1/18/2017 11:32am,HU Hospital,Active
Sick Transport,17-0096,1/18/2017 5:58pm,1/18/2017 6:00pm,C.B. Powell,Inactive
Sick Person,17-0097,1/18/2017 4:07pm,1/18/2017 4:08pm,HU Hospital,Inactive
Fire Alarm Activation,17-0098,1/19/2017 1:09am,1/19/2017 1:05am,College Hall South,Inactive
Disorderly Conduct,17-0099,1/19/2017 8:17am,1/19/2017 9:03am,Middle School,Active
Lost Property,17-0100,1/19/2017 11:00am,1/19/2017 10:00pm,Off Campus,Inactive
Barring Notice,17-0101,1/19/2017 1:26pm,1/19/2017 1:26pm,10th St NW,Active
Theft from Auto,17-0102,1/19/2017 1:46pm,1/19/2017 1:00pm,Upper Campus,Active
