"",,,,,
"",,DATE/TIME,DATE/TIME,,
NATURES OF CRIMES,CASE NUMBERS,,,GENERAL LOCATION,DISPOSITION
"",,REPORTED,OCCURRED,,
Student Misconduct,13-0027,01-10-13/1330,01-10-13/1330,Meridian Hill,Inactive
Suspicious Package,13-0028,01-10-13/1600,01-10-13/1600,Plaza Towers,Inactive
Student Misconduct,13-0029,01-10-13/2300,01-10-13/2257,Carver Hall,Inactive
Student Misconduct,13-0030,01-11-13/0800,01-11-13/0800,Plaza Towers,Active
Student Misconduct,13-0031,01-11-13/0800,01-11-13/0800,Arch. & Planning,Active
Stalking,13-0032,01-11-13/1330,01-11-13/1030,Plaza Towers,Active
Disorderly,13-0033,01-11-13/1330,01-11-13/1030,Dental School,Active
Injured Person,13-0034,01-11-13/1550,01-11-13/1450,Rankin Chapel,Inactive
Injured Person,13-0035,01-11-13/1543,01-11-13/1543,Engineering Bldg.,Inactive
Poss. Of Marijuana,13-0036,01-11-13/1642,01-11-13/1635,Plaza Towers,Active
Student Misconduct,13-0037,01-11-13/2255`,01-11-13/2255,Carver Hall,Active
Student Misconduct,13-0038,01-12-13/2240,01-12-13/2215,4th & W St. NW,Active
Sick Person,13-0039,01-13-13/0036,01-13-13/0005,Meridian Hill,Inactive
Hazardous Water,13-0040,01-13-13/0850,01-13-13/0850,Douglass Hall,Inactive
Lost Property,13-0041,01-13-13/1435,01-13-13/2335,420 Elm St. NW,Inactive
Injured Person,13-0042,01-13-13/1428,01-13-13/1428,Greene Stadium,Inactive
Lost Property,13-0043,01-13-13/2330,01-13-13/2301,Unknown,Inactive
Hazardous Elevator,13-0044,01-14-13/0800,01-14-13/0800,Plaza Towers,Inactive
Damaged Property,13-0045,01-14-13/1400,01-14-13/1400,600 blk Gresham Pl. NW,Inactive
Sick Transport,13-0046,01-14-13/0800,01-14-13/0800,Student Health Center,Inactive
Sick Transport,13-0047,01-14-13/1720,01-14-13/1643,Student Health Center,Inactive
Theft I,13-0048,01-14-13/1850,01-14-13/1830,501 W St. NW,Active
Sick Transport,13-0049,01-15-13/1033,01-15-13/1008,Student Health,Inactive
Lost Property,13-0050,01-15-13/1415,01-15-13/1420,Bethune Annex,Inactive
Sick Transport,13-0051,01-15-13/1555,01-15-13/1555`,Student Health,Inactive
Sick Transport,13-0052,01-15-13/1713,01-15-13/1648,Student Health,Inactive
Injured Person,13-0053,01-15-13/1750,01-09-13/1730,West Campus,Inactive
Student Misconduct,13-0054,01-16-13/1800,01-16-13/1400,Drew Hall,Inactive
Theft from Auto,13-0055,01-16-13/1800,01-16-13/1730,"2400 Blk Ga. Ave., NW",Active
Theft II,13-0056,01-16-13/2100,01-16-13/1230,Main Yard,Active
Theft I,13-0057,01-16-13/2100,01-16-13/2000,Blackburn Center,Active
Unlawful Entry,13-0058,01-17-13/0300,01-17-13/0117,Plaza Towers,Active
Stolen Auto,13-0059,01-17-13/1155,01-17-13/1130,15th St. &Girard St NW,Active
Theft I,13-0060,01-17-13/0800,01-17-13/0800,Howard Campus,Active
Lost Property,13-0061,01-17-13/1601,01-17-13/1500,C. B. Powell Lot,Inactive
SickTransport,13-0062,01-17-13/1620,01-17-13/1600,Student health Ctr.,Inactive
Threat to do bodily Harm,13-0063,01-17-13/1915,01-17-13/1730,Blackburn Center,Active
Health wellness Check,13-0064,01-17-13/1835,01-17-13/1835,Drew Hall,Inactive
Credit Card Fraud,13-0065,01-17-13/1815,01-17-13/1815,HU Bookstore,Active
Miscellaneoous,13-0066,01-17-13/2130,01-17-13/1905,Carver Hall,Inactive
Sick Person,13-0067,01-17-13/2320,01-17-13/2230,Rankin Chapel,Inactive
Theft II,13-0068,01-17-13/2200,01-17-13/2200,Quadrangle Hall,Active
Lost Property,13-0069,01-18-13/1120,01-18-13/1030,I-LAB,Inactive
Theft from Auto,13-0070,01-18-13/1300,01-18-13/1200,Sch. Of Business,Active
Theft from Auto,13-0071,01-18-13/1330,01-18-13/1300,Ralph Bunch Lot,Active
Auto Accident,13-0072,01-18-13/2300,01-18-13/2300,Howard Center Lot,Active
Poss. Marijuana,13-0073,01-19-13/0141,01-19-13/0242,Meridian Hill,Active
Student Misconduct,13-0074,01-19-13/0300,01-19-13/0130,Blackburn Center,Active
Miscellaneous,13-0075,01-19-13/0600,01-19-13/0220,"2718 Ga., Ave.,NW",Inactive
Found Property,13-0076,01-19-13/0800,01-19-13/0800,Pot Belly,Inactive
Fire Alarm Act.,13-0077,01-19-13/0800,01-19-13/0800,Meridian Hill,Inactive
