NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Damaged Property,14-0023,01-14-14/0900,01-14-14/0910,C.B. Powell Bldg.,Inactive
Sick Person,14-0024,01-15-14/0616,01-15-14/0616,Plaza Towers,Inactive
Theft from Auto,14-0025,01-15-14/1254,01-15-14/1254,Adams Building,Active
Miscellaneous,14-0026,01-15-14/1247,01-15-14/1247,Howard Center,Inactive
Lost Property,14-0027,01-15-14/1713,01-10-14/1713,2244 10th St. NW,Active
Lost Property,14-0028,01-15-14/1725,01-15-14/1724,Annex I,Inactive
Fire Alarm Activation,14-0029,01-15-14/1957,01-15-14/2000,Drew Hall,Inactive
Sick Person,14-0030,01-15-14/2026,01-15-14/2026,School of Business,Inactive
Damaged Property,14-0031,01-16-14/0909,01-16-14/0915,Mudd Building,Inactive
Theft II,14-0032,01-16-14/0941,01-16-14/0930,Mudd Building,Active
Lost Property,14-0033,01-16-14/1100,01-16-14/1117,Carnegie Hall,Inactive
Lost Property,14-0034,01-16-14/1431,01-16-14/1438,Quadrangle Hall,Inactive
Lost Property,14-0035,01-16-14/2310,01-16-14/2310,Plaza Towers,Inactive
Found Property,14-0036,01-17-14/1640,01-17-14/1530,Blackburn Center,Inactive
Student Misconduct,14-0037,01-17-14/1720,01-17-14/1720,Carver Hall,Inactive
Sick Person,14-0038,01-18-14/0006,01-18-14/2355,Cook Hall,Inactive
Sick Person,14-0039,01-18-14/0115,01-18-14/0115,Drew Hall,Inactive
Sick Person,14-0040,01-18-14/0108,01-18-14/0108,Meridian Hill,Inactive
PWID,14-0041,01-18-14/0127,01-18-14/0120,Drew Hall,Active
Found Property,14-0042,01-18-14/0412,01-18-14/0412,Plaza Towers,Inactive
Burlary II,14-0043,01-18-14/0434,01-18-14/0130,Meridian Hill,Active
Miscellaneous,14-0044,01-18-14/0748,01-18-14/0748,Service Center,Inactive
Fire Alarm Activation,14-0045,01-18-14/1904,01-18-14/1904,Plaza Towers,Inactive
Sick Person,14-0046,01-19-14/0140,01-19-14/0130,Plaza Towers,Inactive
Sick Person,14-0047,01-19-14/0136,01-19-14/0136,Bethune Hall,Inactive
Loud Noise,14-0048,01-19-14/0326,01-19-14/0326,Off Campus,Inactive
Lost Property,14-0049,01-19-14/1757,01-19-14/1730,Blackburn Center,Inactive
Found Property,14-0050,01-19-14/1801,01-19-14/1855,Burr Gymnasium,Inactive
Student Misconduct,14-0051,01-19-14/1859,01-19-14/1859,Carver Hall,Inactive
Verbal Dispute,14-0052,01-20-14/0235,01-20-14/0240,Bethune Annex,Active
Injured Person,14-0053,01-20-14/0555,01-20-14/0550,Quadrangle Hall,Inactive
Damaged Property,14-0054,01-20-14/1425,01-20-14/140,Towers Lot,Inactive
Sick Person,14-0055,01-20-14/1654,01-20-14/1705,Slowe Hall,Inactive
Sick Person,14-0056,01-20-14/1911,01-20-14/2010,Plaza Towers,Inactive
Sick Transport,14-0057,01-21-14/0316,01-21-14/0325,Quadrangle Hall,Inactive
Fire Alarm Activation,14-0058,01-21-14/1321,01-21-14/1330,Carver Hall,Inactive
Injured Person,14-0059,01-22-14/0337,01-22-14/0334,Quadrangle Hall,Inactive
Lost Property,14-0060,01-22-14/12190,01-22-14/1218,Off Campus,Inactive
Vehicle Hall,14-0061,01-22-14/2033,01-22-14/2033,Gresham Place NW,Active
Student Misconduct,14-0062,01-22-14/2220,01-22-14/2235,Carver Hall,Inactive
Injured Person,14-0063,01-23-14/0147,01-23-14/0145,Meridian Hill,Inactive
Sick Transport,14-0064,01-23-14/1022,01-23-14/1022,Student Health Clinic,Inactive
Injured Person,14-0065,01-23-14/1112,01-23-14/1113,Undergraduate Library,Inactive
Theft II,14-0066,01-23-14/1128,01-23-14/1340,Service Center,Active
Sick Person,14-0067,01-23-14/1700,01-23-14/1712,Howard Plaza Towers,Inactive
Miscellaneous,14-0068,01-24-14/1456,01-24-14/1456,Locke Hall,Inactive
Sick Person,14-0069,01-25-14/0252,01-25-14/0252,Quadrangle Hall,Inactive
Hazardous Water Leak,14-0070,01-25-14/1831,01-25-14/1835,Plaza Towers,Inactive
Hazardous Water Leak,14-0071,01-25-14/2041,01-25-14/2154,Chemistry Building,Inactive
Student Misconduct,14-0072,01-25-14/2047,01-25-14/2047,Drew Hall,Inactive
Alarm Activation,14-0073,01-26-14/0048,01-26-14/0050,Plaza Towers,Inactive
