NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED"
Harassment,15-0028,01-13-15/1156,01-12-15/1115,Locke Hall
Theft from Auto,15-0029,01-13-15/1425,01-13-15/1418,Banneker North Parking Lot
Theft II,15-0030,01-13-15/1621,01-13-15/1621,Fine Arts Building
Hazardous Water Leak,15-0031,01-13-15/1620,01-13-15/1541,Architecture & Planning
Theft I,15-0032,01-13-15/2039,01-13-15/2039,Burr Gymnasium
Harassment,15-0033,01-13-15/2320,01-13-15/2312,College Hall North
Injured Person,15-0034,01-14-15/0138,01-14-15/0135,Plaza Towers
Sick Transport,15-0035,01-14-15/1153,01-14-15/1145,Student Health Clinic
Vehicle Accident,15-0036,01-14-15/1300,01-14-15/1229,West Campus
Injured Person,15-0037,01-14-15/1700,01-14-15/1620,Howard Center
Credit Card Fraud,15-0038,01-14-15/1706,01-14-15/1635,Carver Hall
Sick Person,15-0039,01-14-15/1844,01-14-15/1830,Cramton Auditorium
Burglary II,15-0040,01-14-15/2010,01-14-15/1937,Plaza Towers
Fire Alarm Activation,15-0041,01-15-15/0459,01-15-15/0455,College Hall North
Injured Person,15-0042,01-15-15/1124,01-15-15/0630,Service Center
Domestic Violence,15-0043,01-15-15/0902,01-15-15/0630,"727 Gresham Pl., NW"
Suspicious Odor,15-0044,01-15-15/1153,01-15-15/1153,Fine Arts Building
Sick Person,15-0045,01-15-15/2046,01-15-15/2046,Blackburn Center
Fire Alarm Activation,15-0046,01-16-15/0328,01-16-15/0328,College Hall South
Fire Alarm Activation,15-0047,01-16-15/0400,01-16-15/0357,College Hall North
Miscellaneous,15-0048,01-16-15/1240,01-16-15/1235,Biology Building
Harassment,15-0049,01-16-15/1140,01-16-15/1140,Engineering Building
Miscellaneous,15-0050,01-16-15/1323,01-16-15/1323,Howard Center
Lost Property,15-0051,01-16-15/1617,01-16-15/1605,Wonder Plaza
Theft II,15-0052,01-16-15/1749,01-16-15/1730,HU Hospital
No Reports,,01-17-15/,01-17-15/,
Sick Person,15-0053,01-18-15/0003,01-18-15/0003,Quadrangle Hall
Loud Noise,15-0054,01-18-15/0036,01-18-15/0013,Off Campus
Sexual Assault,15-0055,01-18-15/1629,01-18-15/1629,8th St NE
Injured Person,15-0056,01-19-15/0326,01-19-15/0323,Drew Hall
Armed Robbery,15-0057,01-19-15/0409,01-19-15/0409,College Hall South
Sexual Assault,15-0058,01-19-15/0415,01-19-15/0415,HU Hospital
Miscellaneous,15-0059,01-19-15/0624,01-19-15/0400,1925 Baldenburgh Rd. NE
Damaged Property,15-0060,01-19-15/2100,01-15-15/1144,Banneker North Lot
Miscellaneous,15-0061,01-19-15/1400,01-19-15/1336,Drew Hall
Simple Assault,15-0062,01-19-15/1733,01-19-15/1700,Lower Campus
Lost Property,15-0063,01-19-15/1725,01-19-15/1713,Quadrangle Hall
Lost Property,15-0064,01-19-15/1930,01-19-15/1911,Lower Campus
Sick Transport,15-0065,01-19-15/2352,01-19-15/2352,Drew Hall
Fire Alarm Activation,15-0066,01-20-15/0811,01-20-15/0800,HURB-1
Theft II,15-0067,01-20-15/2230,01-16-15/1109,Enterprise Tech. Service
Stolen Auto,15-0068,01-20-15/0841,01-20-15/0700,HURB-1
Unlawful Entry,15-0069,01-20-15/1250,01-20-15/1233,Howard Center
Fire Alarm Activation,15-0070,01-20-15/1641,01-20-15/1536,Cook Hall
Miscellaneous,15-0071,01-20-15/1725,01-20-15/1725,Upper Campus
Sick Person,15-0072,01-20-15/1945,01-20-15/1945,College Hall North
Theft I,15-0073,01-20-15/2031,01-20-15/1955,College Hall South
Vehicle Accidents,15-0074,01-20-15/1843,01-20-15/1843,Main Gate
Damaged Property,15-0075,01-20-15/2223,01-20-15/2223,Howard Hall
Damaged Property,15-0076,01-21-15/0706,01-21-15/0706,Howard Center
Destruction of Property,15-0077,01-21-15/1222,01-21-15/1140,HU Hospital
Threats,15-0078,01-21-15/1416,01-21-15/1416,Off Campus
Miscellaneous,15-0079,01-21-15/1452,01-21-15/1452,Bethune Annex
Domestic Violence,15-0080,01-21-15/1506,01-18-15/1430,Cook Hall
Lost Property,15-0081,01-21-15/1522,01-21-15/1522,Burr Gymnasium
Lost Property,15-0082,01-21-15/1530,01-21-15/1516,HU Hospital
Student Misconduct,15-0083,01-21-15/1435,01-21-15/1435,Bethune Annex
Student Misconduct,15-0084,01-21-15/1730,01-21-15/1730,College Hall South
Sick Person,15-0085,01-22-15/0049,01-22-15/0049,HU Hospital
Theft II,15-0086,01-22-15/1256,01-22-15/1256,Plaza Towers
Damaged Property,15-0087,01-22-15/2136,01-22-15/2135,Main Gate
Attempt Burglary,15-0088,01-23-15/0151,01-23-15/0151,Plaza Towers
Sick Person,15-0089,01-23-15/0347,01-23-15/0347,Drew Hall
Sick Person,15-0090,01-23-15/0949,01-23-15/0945,Douglass Hall
Theft II,15-0091,01-23-15/1010,01-23-15/1000,Fine Arts Building
Damaged Property,15-0092,01-23-15/1431,01-23-15/1431,Business District
Sexual Assault/Domestic Violence,15-0093,01-23-15/1624,08-29-14/,On Campus
Suspicious Odor,15-0094,01-23-15/1945,01-23-15/1921,Plaza Towers
Student Misconduct,15-0095,01-23-15/2200,01-23-15/2045,Plaza Towers
Student Misconduct,15-0096,01-24-15/1027,01-24-15/1027,Drew Hall
Fire Alarm /Student Misconduct,15-0097,01-24-15/2245,01-24-15/2232,College Hall South
Simple Assault,15-0098,01-25-15/0159,01-25-15/0100,Quadrangle Hall
Missing Person,15-0099,01-25-15/0629,01-25-15/0625,College Hall South
Theft II,15-0100,01-25-15/1505,01-25-15/1353,College Hall North
Lost Property,15-0101,01-25-15/1810,01-25-15/1232,Plaza Towers
Fire Alarm Activation,15-0102,01-25-15/1914,01-25-15/1859,College Hall South
Damaged Property,15-0103,01-26-15/1012,01-26-15/0921,Banneker Lot
Theft II,15-0104,01-26-15/1453,01-26-15/1449,Bookstore
Lost Property,15-0105,01-26-15/1638,01-26-15/1545,Engineering Building
Sick Person,15-0106,01-26-15/1901,01-26-15/1901,Bethune Annex
Fire Alarm Activation,15-0107,01-27-15/0010,01-27-15/0010,Cook Hall
Destruction of Property,15-0108,01-27-15/1634,01-27-15/1634,Howard Center Lot
Damaged Property,15-0109,01-28-15/2330,01-27-15/0017,Service Center
Unlawful Entry,15-0110,01-28-15/0150,01-28-15/0145,College Hall South
Fire Alarm Activation,15-0111,01-28-15/1230,01-28-15/1223,East Campus
Damaged Property,15-0112,01-28-15/1403,01-28-15/1339,Lower Campus
Sick Person,15-0113,01-28-15/1624,01-28-15/1617,Douglass Hall
Sick Transport,15-0114,01-28-15/1534,01-28-15/1534,Engineering Building
Theft I,15-0115,01-28-15/1614,01-28-15/1530,West Campus
Found Property,15-0116,01-28-15/1720,01-28-15/1718,Wonder Plaza
Damaged Property,15-0117,01-28-15/1932,01-28-15/1932,2200 6th St. NW
Injured Person,15-0118,01-28-15/2022,01-28-15/2022,Quadrangle Hall
Damaged Property,15-0119,01-28-15/2127,01-28-15/2127,400 W St. NW
Sick Person,15-0120,01-29-15/2237,01-29-15/2237,Burr Gymnasium
Fire Alarm Activation,15-0121,01-29-15/0029,01-29-15/0029,Bethune Annex
Fire Alarm Activation,15-0122,01-29-15/0256,01-29-15/0249,Cook Hall
Sick Person,15-0123,01-29-15/0804,01-29-15/0804,Lower Campus
Fire Alarm Activation,15-0124,01-29-15/1350,01-29-15/1339,East Campus
Found Property,15-0125,01-29-15/1433,01-29-15/1355,Service Center
Miscellaneous,15-0126,01-29-15/1444,01-29-15/1220,HU Hospital
Injured Person,15-0127,01-30-15/0154,01-30-15/0150,HU Hospital
Sick Transport,15-0128,01-30-15/0920,01-30-15/0920,College Hall North
Student Misconduct,15-0129,01-30-15/1405,01-30-15/1405,Drew Hall
Theft II,15-0130,01-30-15/1535,01-30-15/1533,Douglass Hall
Miscellaneous,15-0131,01-30-15/1625,01-30-15/1625,Bethune Annex
Loud Noise,15-0132,01-31-15/0002,01-31-15/0002,725 Fairmont St  NW
Student Misconduct,15-0133,01-31-15/0219,01-31-15/0219,College Hall South
Stolen Auto,15-0134,01-31-15/1852,01-31-15/1830,Drew Hall
Lost Property,15-0135,02-01-15/1620,02-01-15/1403,College Hall South
Vehicle Accident,15-0136,02-01-15/2230,02-01-15/2228,Bethune Annex
Sick Person,15-0137,02-02-15/0249,02-02-15/0249,Howard Plaza Towers
Fire Alarm Activation,15-0138,02-02-15/0935,02-02-15/0931,Cook Hall
Lost Property,15-0139,02-02-15/1449,02-02-15/1435,Pharmacy Building
Vehicle Accident,15-0140,02-02-15/1553,02-02-15/1553,Plaza Towers
Theft II,15-0141,02-02-15/2246,02-02-15/2242,Drew Hall
Sick Person,15-0142,02-02-15/2330,02-03-15/0011,HU Hospital
Theft II,15-0143,02-03-15/1350,02-03-15/1345,Bookstore
Miscellaneous,15-0144,02-03-15/1358,02-03-15/1348,Upper Campus
Sick Person,15-0145,02-03-15/1626,02-03-15/1620,Fine Arts Building
Student Misconduct,15-0146,02-03-15/1920,02-03-15/1920,College Hall South
Hazardous Odor,15-0147,02-03-15/1900,02-03-15/1900,Mudd Building
Hazardous Odor,15-0148,02-03-15/1900,02-03-15/1900,Mudd Building
Burglary II,15-0149,02-04-15/0058,02-04-15/0001,College Hall South
Sick Person,15-0150,02-04-15/0815,02-04-15/0815,C.B. Powell Building
Destruction of Property,15-0151,02-04-15/0705,02-04-15/0750,Banneker South Lot
Theft from Auto,15-0152,02-04-15/1327,02-04-15/0750,Banneker South Lot
Theft from Auto,15-0153,02-04-15/0932,02-04-15/0932,Banneker North Lot
Destruction of Property,15-0154,02-04-15/1330,02-04-15/1330,Banneker North Lot
Destruction of Property,15-0155,02-04-15/1319,02-04-15/1319,Banneker North Lot
Destruction of Property,15-0156,02-04-15/1149,02-04-15/1149,Banneker North Lot
Vehicle Accident,15-0157,02-04-15/1502,02-04-15/1500,Slowe Hall
Hazardous Water Leak,15-0158,02-04-15/1540,02-04-15/1535,Plaza Towers
Damaged Property,15-0159,02-04-15/1547,02-04-15/1545,100 Adams St. NW
Lost Property,15-0160,02-04-15/1653,02-04-15/1647,College Hall South
Miscellaneous,15-0161,02-04-15/1820,02-04-15/1737,Quadrangle Hall
Fire Alarm Activation,15-0162,02-04-15/1910,02-04-15/1909,College Hall North
Found Property,15-0163,02-04-15/1948,02-04-15/1653,Service Center
Damaged Property,15-0164,02-04-15/2018,02-04-15/2005,Plaza Towers
Student Misconduct,15-0165,02-04-15/2004,02-04-15/2004,Drew Hall
Theft from Auto,15-0166,02-04-15/2052,02-04-15/2052,Banneker South Lot
Student Misconduct,15-0167,02-04-15/2042,02-04-15/2033,Carver Hall
Student Misconduct,15-0168,02-04-15/2114,02-04-15/2042,Carver Hall
Student Misconduct,15-0169,02-04-15/2137,02-04-15/2132,Carver Hall
Lost Property,15-0170,02-05-15/1047,02-05-15/1047,Blackburn Center
Theft from Auto,15-0171,02-05-15/1425,02-05-15/1420,Plaza Towers
Miscellaneous,15-0172,02-05-15/1622,02-05-15/1617,Fine Arts Building
Hazardous Elevator,15-0173,02-05-15/1902,02-05-15/1843,Burr Gymnasium
Student Misconduct,15-0174,02-05-15/2156,02-05-15/2149,Drew Hall
Student Misconduct,15-0175,02-05-15/2239,02-05-15/2237,Quadrangle Hall
Sick Person,15-0176,02-06-15/1403,02-06-15/1403,Howard Center
Theft 2,15-0177,02-06-15/1408,02-06-15/1400,Burr Gymnsaium
Injured Person,15-0178,02-06-15/1441,02-06-15/1400,Howard Hospital
Theft 2,15-0179,02-06-15/1614,02-06-15/1600,Slowe Hall
Burglary 2,15-0180,02-06-15/1648,02-06-15/1620,Slowe Hall
Hazardous Elevator,15-0181,02-06-15/1753,02-06-15/1753,School of Business
Fire Alarm Activation,15-0182,02-06-15/2010,02-06-15/2010,Cook Hall
Sick Person,15-0183,02-06-15/2331,02-06-15/2331,College Hall North
Student Misconduct,15-0184,02-07-15/0118,02-07-15/0118,Plaza Towers
Student Misconduct,15-0185,02-07-15/1953,02-07-15/1953,Banneker South Parking Lot
Student Misconduct,15-0186,02-07-15/2215,02-07-15/2215,Undergraduate Library
Unlawful Entry,15-0187,02-08-15/1030,02-08-15/0950,2112 Georgia Avenue NW
Burglary 1,15-0188,02-08-15/1146,02-08-15/0400,College Hall South
Lost Property,15-0189,02-08-15/1555,02-08-15/1555,College Hall South
Student Misconduct,15-0190,02-08-15/1745,02-08-15/1740,Slowe Hall
Simple Assault,15-0191,02-09-15/0940,02-09-15/0927,College Hall South
Sick Transport,15-0192,02-09-15/1045,02-09-15/1039,Mental Health Clinic
Theft from Auto,15-0193,02-09-15/1215,02-09-15/1202,400 College St. NW
Sick Person,15-0194,02-09-15/1240,02-09-15/1240,Architecture & Planning
Suspicious Odor,15-0195,02-09-15/1621,02-09-15/1541,Slowe Hall
Fire Alarm Activation,15-0196,02-09-15/1832,02-09-15/1645,Cook Hall
Miscellaneous,15-0197,02-09-15/1931,02-09-15/1929,Quadrangle Hall
Sick Person,15-0198,02-10-15/0130,02-10-15/0125,Bethune Annex
Fire,15-0199,02-10-15/0505,02-10-15/0450,Slowe Hall
Vehicle Accident,15-0200,02-10-15/0626,02-10-15/0625,2300 Howard Pl. NW
Lost Campus,15-0201,02-10-15/1108,02-10-15/1108,Plaza Towers
Stalking,15-0202,02-10-15/1154,02-10-15/1130,Washington DC
Lost Campus,15-0203,02-10-15/1445,02-10-15/1440,Wonder Plaza
Injured Person,15-0204,02-10-15/1820,02-10-15/1800,Burr Gymnasium
Recovered Property,15-0205,02-10-15/1945,02-10-15/1919,Slowe Hall
Recovered Property,15-0206,02-10-15/2248,02-10-15/2000,Blackburn Center
Sick Person,15-0207,02-11-15/0646,02-11-15/0644,Quadrangle Hall
Vehicle Accident,15-0208,02-11-15/0845,02-11-15/0805,HUH A-1 Garage
Sick Person,15-0209,02-11-15/1015,02-11-15/1015,Locke Hall
Theft II,15-0210,02-11-15/1349,02-11-15/1349,Douglass Hall
Hazardous Elevator,15-0211,02-11-15/1805,02-11-15/1801,Drew Hall
Miscellaneous,15-0212,02-11-15/2052,02-11-15/2047,Blackburn Center
Domestic Violence,15-0213,02-12-15/0240,02-12-15/1200,Slowe Hall
Vandalism,15-0214,02-12-15/0943,02-12-15/0900,Douglass Hall
Vehicle Accident,15-0215,02-12-15/1132,02-12-15/1131,Upper Campus
Theft I,15-0216,02-12-15/1246,02-12-15/1246,Fine Arts Building
Lost Property,15-0217,02-12-15/1545,02-11-15/1328,Service Center
Damaged Property,15-0218,02-12-15/1509,02-12-15/1509,Plaza Towers
Theft II,15-0219,02-12-15/1600,02-12-15/1553,Annex 1
Suspicious Odor,15-0220,02-12-15/2018,02-12-15/2017,Plaza Towers
Possession of Marijuana,15-0221,02-13-15/0105,02-13-15/0105,Plaza Towers
Fire Alarm Activation,15-0222,02-13-15/0742,02-13-15/0740,Bethune Annex
Sick Person,15-0223,02-13-15/1018,02-13-15/1018,Student Health Clinic
Simple Assault,15-0224,02-13-15/1015,02-13-15/1015,Business District
Lost Property,15-0225,02-13-15/1336,02-13-15/1328,Plaza Towers
Theft from Auto,15-0226,02-13-15/1708,02-13-15/1652,6th Fairmont St. NW
Student Misconduct,15-0227,02-13-15/1705,02-13-15/1705,College Hall South
Simple Assault,15-0228,02-13-15/1532,02-13-15/1532,HU Hospital
Student Misconduct,15-0229,02-13-15/1924,02-13-15/1920,Cook Hall
Fire Alarm Activation,15-0230,02-13-15/2354,02-13-15/2345,Plaza Towers
Unlawful Entry,15-0231,02-14-15/0211,02-14-15/0211,Howard Center
Fire Alarm Activation,15-0232,02-14-15/1847,02-14-15/1845,Quadrangle Hall
Sick Person,15-0233,02-15-15/0054,02-15-15/0001,HU Hospital
B & E  Vending Machine,15-0234,02-15-15/0405,02-15-15/0350,Slowe Hall
Damaged Property,15-0235,02-15-15/1619,02-15-15/1540,Service Center
Hazardous Elevator,15-0236,02-15-15/2324,02-15-15/2315,Plaza Towers
Fire Alarm Activation,14-0162,02-16-14/1340,02-16-14/1302,Meridian Hill
Miscellaneous,14-0163,02-16-14/1757,02-16-14/1757,Blackburn Center (rear)
Fire Alarm Activation,14-0164,02-16-14/2112,02-16-14/2110,Meridian Hill
Hazardous Water Leak,14-0165,02-16-14/2300,02-16-14/2247,Dental School
Fire Alarm Activation,15-0244,02-17-15/1310,02-17-15/1307,Quadrangle Hall
Sick Person,15-0245,02-17-15/1400,02-17-15/1345,4th St. NW
Hazardous Water Leak,15-0246,02-17-15/2318,02-17-15/1823,West Campus
Lost Property,15-0247,02-17-15/2302,02-17-15/2301,Plaza Towers
Hazardous Water Leak,15-0248,02-18-15/0121,02-18-15/0005,East Campus
Hazardous Water Leak,15-0249,02-18-15/0611,02-18-15/0605,School of Business
Unlawful Entry,15-0250,02-18-15/0750,02-18-15/0737,Fine Arts Building
Hazardous Water Leak,15-0251,02-18-15/0735,02-18-15/0715,Social Work
Hazardous Water Leak,15-0252,02-18-15/1055,02-18-15/1053,Mudd Building
Hazardous Water Leak,15-0253,02-18-15/1057,02-18-15/0945,West Campus
Simple Assault/Unlawful Entry,15-0254,02-18-15/1304,02-18-15/1304,Quadrangle Hall
Suspicious Package,15-0255,02-18-15/1358,02-18-15/1358,Fine Arts Building
Theft 2,15-0256,02-18-15/1636,02-18-15/1636,Biology Building
Fire Alarm Activation,15-0257,02-18-15/1839,02-18-15/1836,Service Center
Theft 2,15-0258,02-18-15/2100,02-18-15/2100,C.B. Powell Building
Missing Person,15-0259,02-19-15/0117,02-19-15/0109,Wonder Plaza
Hazardous Water Leak,15-0260,02-19-15/0622,02-19-15/0600,West Campus
Lost Property,15-0261,02-19-15/1353,02-19-15/1353,Burr Gymnasium
Lost Property,15-0262,02-19-15/1515,02-19-15/1510,College Hall North
Fire Alarm Activation,15-0263,02-19-15/1825,02-19-15/1823,College Hall North
Student Misconduct,15-0264,02-19-15/1939,02-19-15/1913,Quadrangle Hall
Theft 1,15-0265,02-20-15/1026,02-20-15/1026,Slowe Hall
Fire Alarm Activation,15-0266,02-20-15/1356,02-20-15/1356,Wonder Plaza
Fire Alarm Activation,15-0267,02-20-15/1414,02-20-15/1414,Pharmacy Building
Lost Property,15-0268,02-20-15/1450,02-20-15/1450,Fine Arts Building
Theft 2,15-0269,02-20-15/1541,02-20-15/1526,School of Business
Suspicious Package,15-0270,02-20-15/1632,02-20-15/1528,Slowe Hall
Theft 2,15-0271,02-20-15/1721,02-20-15/1721,Off Campus
Theft 2,15-0272,02-20-15/1900,02-20-15/1625,Mudd Building
Hazardous Water Leak,15-0273,02-20-15/2053,02-20-15/2053,Howard Center Lot
Damaged Property,15-0274,02-20-15/2205,02-20-15/2156,Blackburn Center
Sick Person,15-0275,02-21-15/0048,02-21-15/0048,Quadrangle Hall
Suspicious Odor,15-0276,02-21-15/0226,02-21-15/0221,Plaza Towers
Student Misconduct,15-0277,02-21-15/0349,02-21-15/0349,College Hall South
Fire Alarm Activation,15-0278,02-21-15/2010,02-21-15/2004,Burr Gymnasium
Fire Alarm Activation,15-0279,02-22-15/0237,02-22-15/0234,Cook Hall
Damaged Property,15-0280,02-22-15/1310,02-22-15/1300,Lower Campus
Damaged Property,15-0281,02-22-15/1625,02-22-15/1623,Banneker South
Injured Person,15-0282,02-22-15/1612,02-22-15/1555,Blackburn Center
Hazardous Water Leak,15-0283,02-23-15/0003,02-23-15/0003,C.B. Powell Building
Sexual Assault,15-0284,02-23-15/0103,02-23-15/0046,Quadrangle Hall
Miscellaneous,15-0285,02-23-15/0635,02-23-15/0622,Administration Building
Hazardous Water Leak,15-0286,02-23-15/0750,02-23-15/0747,Biology Building
Sick Transport,15-0287,02-23-15/0952,02-23-15/0952,Bethune Hall Annex
Sick Person,15-0288,02-23-15/1115,02-23-15/1054,Cramton Auditorium
Hazardous Water Leak,15-0289,02-23-15/1233,02-23-15/1233,College of Dentry
Theft 1,15-0290,02-23-15/1215,02-23-15/1251,Burr Gymnasium
Theft 2,15-0291,02-23-15/1706,02-23-15/1700,School of Business
Theft 2,15-0292,02-23-15/1717,02-23-15/1641,College Hall South
Theft 2,15-0293,02-23-15/2030,02-23-15/2030,Architecture & Planning
Suspicious Odor,15-0294,02-23-15/2030,02-23-15/2030,College Hall South
Theft 1,15-0295,02-24-15/0050,02-24-15/0030,HU Hospital
Damaged Property,15-0296,02-24-15/0910,02-24-15/0700,Miner Lot
Unlawful Entry,15-0297,02-24-15/0938,02-24-15/0910,Blackburn Center
Theft 2,15-0298,02-24-15/1329,02-24-15/1329,Wonder Plaza
Hazardous Water Leak,15-0299,02-25-15/0810,02-25-15/0800,Blackburn Center
Lost Property,15-0300,02-25-15/1530,02-24-15/1243,School of Business
Harassment,15-0301,02-25-15/1312,02-25-15/1312,Dental School
Theft from Auto,15-0302,02-25-15/1701,02-25-15/1701,Drew Hall
Sick Person,15-0303,02-25-15/2215,02-25-15/2215,Bethune Hall Annex
Theft 1,15-0304,02-26-15/1101,2-26-15/1040,Blackburn Center
Miscellaneous,15-0305,02-26-15/1315,2-26-15/1315,Carver Hall
Fire Alarm Activation,15-0306,02-26-15/1623,2-26-15/1623,Cook Hall
Injured Person,15-0307,02-26-15/1828,2-26-15/1826,Burr Gymnasium
Sick Transport,15-0308,02-26-15/1831,2-26-15/1831,Quadrangle Hall
Found Property,15-0309,02-26-15/1950,2-26-15/1945,Cook Hall
Sick Transport,15-0310,02-27-15/1645,02-27-15/1632,Student Health Clinic
Sick Person,15-0311,02-27-15/2058,02-27-15/2048,Carver Hall
