NATURES OF CRIMES,"CASENUMBERS",DATE/TIME REPORTED,"DATE/TIMEOCCURRED"
Verbal Dispute,19-0029,01/10/19 10:03am,01/10/19 7:38am,Howard University Hospital
Hazardous Elevator,19-0030,01/10/19 1:34pm,01/10/19 1:30pm,West Campus
Fire,19-0031,01/10/19 11:39pm,01/10/19 11:20pm,Howard University Hospital
Theft 2,19-0032,01/11/19 10:32am,01/10/19 12:00pm,Administration Building
Lost Property,19-0033,01/11/19 10:41am,01/11/19 10:41am,Administration Building
Damaged Property,19-0034,01/11/19 10:54am,01/11/19 10:54am,Chemistry Building
Fire Alarm Activation,19-0035,01/11/19 11:06am,01/11/19 11:06am,Early Learning Center
Destruction of Property,19-0036,01/11/19 3:04pm,01/11/19 2:27pm,Howard University Hospital
Vandalism,19-0037,01/11/19 4:49pm,01/11/19 4:49pm,Childers Lot
Robbery Snatch,19-0038,01/12/19 12:01am,01/12/19 12:00am,2300 Block Georgia Ave. NW
Assault on a Police Officer,19-0039,01/13/19 10:43am,01/13/19 8:43am,Howard University Hospital
Student Misconduct,19-0040,01/13/19 8:43pm,01/13/19 8:43pm,Howard Plaza Towers West
Student Misconduct,19-0041,01/14/19 10:12am,01/14/19 10:12am,Howard Plaza Towers West
Lost Property,19-0042,01/14/19 12:46pm,01/09/19 12:00pm,Howard University Hospital
Disorderly Conduct,19-0043,01/14/19 2:25pm,01/14/19 2:00pm,Howard University Hospital
Lost Property,19-0044,01/14/19 5:17pm,01/14/19 5:10pm,Greene Stadium
Burglary 2,19-0045,01/14/19 5:41pm,01/14/19 5:28pm,Bethune Annex
Fire Alarm Activation,19-0046,01/14/19 8:48pm,01/14/19 8:48pm,College Hall South
Damaged Property,19-0047,01/15/19 9:58am,01/15/19 9:58am,Howard Plaza Towers West
Injured Person,19-0048,01/15/29 10:24am,01/15/29 8:07am,West Campus
Unlawful Entry,19-0049,01/15/19 11:00am,01/15/19 11:00am,Engineering Building
Threats to do Bodily Harm,19-0050,01/15/1912:29pm,01/15/19 11:00am,Off Campus
Verbal Dispute,19-0051,01/15/19 2:41pm,01/15/191:24pm,Howard University Hospital
Theft From Auto,19-0052,01/15/19 4:03am,01/15/19 3:30pm,2300 Block 9th Street NW
Fire Alarm Activation,19-0053,01/15/19 7:52pm,01/15/19 7:52pm,Bethune Annex
Theft 2,19-0054,01/15/19 8:35pm,01/15/19 1:30pm,Howard University Hospital
Disorderly Conduct,19-0055,1/16/2019 12:05am,01/15/19 11:35am,Howard University Hospital
Stalking,19-0056,01/16/19 11:09am,01/16/19 11:00am,College Hall North
Injured Person,19-0057,01/16/19 11:46am,1/16/2019 8:05am,Engineering Building
Theft From Auto,19-0058,01/16/19 4:07pm,01/16/19 3:30pm,2400 Block 6th Street NW
Theft From Auto,19-0059,01/16/19 6:13pm,01/16/19 3:30pm,600 Block Girard Street NW
Injured Person,19-0060,01/16/19 5:23pm,01/16/19 3:00pm,Locke Hall
Hazardous Elevator,19-0061,01/17/19-8:23am,01/17/19 8:20am,Howard University Hospital
Hazardous Water Leak,19-0062,01/17/19 9:14am,01/17/19 9:14am,Howard University Hospital
Vehicle Accident 19-0063,,01/17/19 9:21am,01/17/19 6:55am,A-2 Garage
Destruction of Property 19-0064,,01/17/19 10:49am,01/17/19 9:46am,Howard Plaza Towers East
Miscellaneous 19-0065,,01/17/19 4:08pm,01/17/19 4:01pm,College Hall South
Domestic Violence/Simple Ass1a9u-l0t 066,,01/17/19 4:19pm,01/16/19 8:05pm,Howard Plaza Towers West
Credit Card Fraud 19-0067,,01/17/19 6:31pm,01/16/19 11:00pm,Howard University Hospital
Student Misconduct 19-0068,,01/17/19 6:48pm,01/17/19 6:48pm,College Hall South
Simple Assault 19-0069,,01/17/19 9:23pm,01/17/19 8:40pm,Howard University Hospital
Simple Assault 19-0070,,01/17/19 8:27pm,01/17/19 8:27pm,Howard Plaza Towers West
Theft 2 19-0071,,01/18/19 12:27am,01/17/19 11:50pm,College Hall South
Fire Alarm Activation 19-0072,,01/18/19 9:06am,01/18/19 9:00am,Law School
Domestic Violence/Threats 19-0073,,01/18/19 12:29pm,01/18/19 12:29pm,Ira Aldridge Theater
Vehicle Accident 19-0074,,01/18/19 1:55pm,01/18/19 1:39pm,Georgia Ave. & Fairmont Street
Student Misconduct 19-0075,,01/18/19 8:12pm,01/18/19 8:12pm,College Hall South
Student Misconduct 19-0076,,01/18/19 6:53pm,01/18/19 6:53pm,College Hall South
Lost Property 19-0077,,01/18/19 10:11pm,01/18/19 10:11pm,Founders Library
Sick Person 19-0078,,01/19/19 1:28am,01/19/19 1:28am,College Hall North
Destruction of Property 19-0079,,01/19/19 9:53am,01/19/19 9:53am,Howard Plaza Towers West
Theft 2 19-0080,,01/19/19 2:44pm,01/19/19 12:30pm,Burr Gym
Found Property 19-0081,,01/19/19 6:21pm,01/19/19 6:18pm,Main Gate
Indecent Exposure 19-0082,,01/19/19 7:42am,01/20/19 7:07am,Howard University Hospital
Injured Person 19-0083,,01/20/19 1:00am,01/20/19 1:00am,Howard Plaza Towers East
Unlawful Entry 19-0084,,01/21/19 4:19am,01/21/19 4:19am,Cook Hall
Lost Property 19-0085,,01/21/19 12:05pm,01/21/19 11:00am,Howard Plaza Towers West
Hazardous Water Leak 19-0086,,01/22/19 6:40am,01/22/19 6:40am,Chemistry Building
Injured Person 19-0087,,01/22/19 8:28am,01/22/19 8:28am,Law School
Fraud 19-0088,,01/22/19 2:14pm,01/17/19  2:00pm,I-Lab
Hazardous Elevator 19-0089,,01/22/19 2:52am,01/22/19 2:18pm,Howard University Hospital
Hazardous Elevator 19-0090,,01/22/19 8:24am,01/22/19 7:08pm,Howard University Hospital
Lost Property 19-0091,,01/22/19 3:47pm,01/22/19 3:47pm,College Hall South
Hazardous Water Leak 19-0092,,01/23/19 10:48am,01/23/19 10:48am,Chemistry Building
Damaged Property 19-0093,,01/23/19 11:07am,01/23/19 11:07am,A-1 Rear Parking Lot
Theft 2 19-0094,,01/23/19 12:10pm,01/21/19 6:00pm,Bethune Annex
Missing Person 19-0095,,01/23/19 12:44pm,01/22/19 5:14pm,Off Campus
Miscellaneous 19-0096,,01/23/19 4:18pm,01/23/19 4:14pm,Founders Lot
Theft From Auto,19-0097,01/23/19 8:33pm,01/23/19 8:23pm,Cramton Auditorium
Injured Person,19-0098,01/24/19  8:40am,01/24/19 7:35am,Howard University Hospital
Lost Property,19-0099,01/24/19 12:33pm,01/24/19 11:36am,Howard University Hospital
Miscellaneous,19-0100,01/24/19 5:06pm,01/24/19 5:06pm,Bethune Annex
Suspicious Person,19-0101,01/24/19 11:38pm,01/24/19 11:38pm,Blackburn Center
Hazardous Elevator,19-0102,01/25/19 8:04am,01/25/19 8:01am,Stokes Library
Fraud,19-0103,01/25/19 12:18pm,01/15/19 9:16pm,College Hall South
Disorderly Conduct,19-0104,01/25/19 1:45pm,01/25/19 1:45pm,Medical Arts Building
Fire Alarm Activation,19-0105,01/25/19 11:59pm,01/25/19 11:59pm,Bethune Annex
Fire Alarm Activation,19-0106,01/26/19 1:12am,01/26/19 1:12am,Howard Plaza Towers West
Fire Alarm Activation,19-0107,01/26/19 5:18am,01/26/19 5:18am,Social Work
Fire Alarm Activation,19-0108,01/26/19 7:38am,01/26/19 7:38am,Social Work
Found Property,19-0109,01/26/19 2:30pm,01/25/19 9:30pm,HU Service Center
Aggravated Assault,19-0110,01/26/19 3:43pm,01/26/19 3:17pm,Howard University Hospital
Aggravated Assault,19-0111,01/27/19 12:30am,01/27/19 12:30am,Howard Plaza Towers West
Fire Alarm Activation,19-0112,01/27/19 2:28am,01/27/19 2:28am,College Hall South
Hazardous Water Leak,19-0113,01/27/19 1:35pm,01/27/19 12:30pm,Bethune Annex
Unlawful Entry,19-0114,01/27/19 8:30pm,01/27/19 8:21pm,Wonder Plaza Lot
Fire Alarm Activation,19-0115,01/28/19 11:24am,01/28/19 11:24am,Bethune Annex
Student Misconduct,19-0116,01/28/19 8:46pm,01/28/19 8:46pm,College Hall South
Theft From Auto,19-0117,01/28/19 9:21pm,01/28/19 8:15pm,Greene Stadium Lot
Fire Alarm Activation,19-0118,01/28/19 9:58pm,01/28/19 9:58pm,Social Work
Sick Person,19-0119,01/28/19 10:52pm,01/28/19 10:52pm,College Hall North
Theft 2,19-0120,01/28/19 10:17pm,01/28/19 10:17pm,College Hall North
Fire Alarm Activation,19-0121,01/29/19 3:59am,01/29/19 3:59am,Social Work
Hazardous Water Leak,19-0122,01/29/19 7:28am,01/29/19 7:28am,Bookstore
Fire Alarm Activation,19-0123,01/29/19 11:31am,01/29/19 11:15am,Howard Plaza Towers
Disorderly Conduct,19-0124,01/29/19 2:59pm,01/29/19 2:59pm,Medical Arts Building
Hazardous Water Leak,19-0125,01/29/19 5:08pm,01/29/19 5:00pm,Rankin Chapel
Damaged Property,19-0126,01/30/19 1:30pm,01/30/19 1:30pm,HU Service Center
Damaged Property,19-0127,01/30/19 4:53pm,01/30/19 3:57pm,HU Service Center
Theft From Auto,19-0128,01/30/19 6:57pm,01/30/19 8:30pm,900 Barry Place
Fire Alarm Activation,19-0129,01/30/19 11:24pm,01/30/19 11:24pm,Bethune Annex
Found Property,19-0130,01/30/19 11:55pm,01/30/19 11:55pm,Howard University Hospital
Lost Property,19-0131,01/31/19 6:58am,01/31/19 6:58am,Howard University Hospital
Fire Alarm Activation,19-0132,01/31/19 6:58pm,01/31/19 6:58pm,College of Dentistry
Damaged Property,19-0133,01/31/19 10:03am,01/29/19 3:30pm,HU Service Center
Vehicle Accident,19-0134,01/31/19 11:08am,01/31/19 11:08am,2300 block 5th Street NW
Theft From Auto,19-0135,01/31/19 11:29am,01/31/19 11:00am,500 block W street Nw
Hazardous Elevator,19-0136,01/31/19 1:06pm,01/31/19 1:06pm,Blackburn Center
Sick Person,19-0137,01/31/19 2:45pm,01/31/19 2:45pm,College Hall North
Threats to do Bodily Harm,19-0138,01/31/19 6:06pm,01/31/19 3:07pm,Howard University Hospital
Hazardous Water Leak,19-0139,01/31/19 6:12pm,01/31/19 6:12pm,Howard Center Lot
Hazardous Water Leak,19-0140,01/31/19 7:33pm,01/31/19 7:33pm,Fine Arts
Hazardous Elevator,19-0141,01/31/19 9:26pm,01/31/19 9:26pm,Bethune Annex
Fire Alarm Activation,19-0142,02/01/19 12:24am,02/01/19 12:24am,College Hall North
Hazardous Water Leak,19-0143,02/01/19 1:56am,02/01/19 1:56am,Chemistry Building
Disorderly Conduct,19-0144,02/01/19 5:21am,02/01/19 5:00am,Howard University Hospital
Unlawful Entry,19-0145,02/01/19 8:37am,02/01/19 8:37am,Locke Hall
Found Property,19-0146,02/01/19 10:01am,02/01/19 10:01am,Locke Hall
Hit and run,19-0147,02/01/19 9:34am,02/01/19 9:34am,A-2 Garage
Threats to do Bodily Harm,19-0148,02/01/19 10:33am,02/01/19 9:20am,Howard University Hospital
Sick Person,19-0149,02/01/19 3:43pm,02/01/19 3:43pm,Mental Health Clinic
Fire,19-0150,02/01/19 9:09pm,02/01/19 9:09pm,I-Lab
PWID,19-0151,02/01/19 4:14pm,02/01/19 4:14pm,College Hall South
Fire Alarm Activation,19-0152,02/01/19 12:42pm,02/01/19 12:42pm,College Hall South
Sick Person,19-0153,02/02/19 2:32pm,02/02/19 2:32pm,College Hall South
Fire Alarm Activation,19-0154,02/02/19 7:08pm,02/02/19 7:08pm,College Hall North
Lost Property,19-0155,02/03/19 1:43am,02/03/19 1:43am,Howard University Hospital
Hazardous Water Leak,19-0156,02/03/19 10:26am,02/03/19 10:26am,Howard Center Lot
Disorderly Conduct,19-0157,02/03/19 2:28pm,02/03/19 2:28pm,College Hall South
Fire,19-0158,02/03/19 3:14pm,02/03/19 3:14pm,College Hall North
Fire Alarm Activation,19-0159,02/03/19 4:15pm,02/03/19 3:58pm,Bethune Annex
Lost Property,19-0160,02/03/19 4:00pm,02/03/19 4:00pm,Engineering Building
Suspicious Person,19-0161,02/03/19 4:58pm,02/03/19 4:50pm,Howard Center Lot
Fire Alarm Activation,19-0162,02/03/19 8:55pm,02/03/19 8:55pm,College Hall South
Hazardous Elevator,19-0163,02/03/19 6:37pm,02/03/19 6:35pm,Administration Building
Fire Alarm Activation,19-0164,02/03/19 10:00pm,02/03/19 10:00pm,College Hall South
Miscellaneous 19-0165,,02/03/10 10:41pm,02/03/19 10:20pm,Howard University Hospital
Hazardous Water Leak 19-0166,,02/04/19 1:47am,02/04/19 1:47am,Howard Center 2
Miscellaneous 19-0167,,02/04/19 10:00am,02/04/19 10:00am,Architecture and Planning
Theft 1 19-0168,,02/04/19 10:23am,02/04/19 10:23am,HU Service Center
Fire Alarm Activation 19-0169,,02/04/19 11:40am,02/04/19 11:40am,College Hall South
Disorderly Conduct 19-0170,,02/04/19 2:20pm,02/02/19 6:59pm,Burr Gym
Theft 2 19-0171,,02/04/19 2:39pm,02/04/19 7:00am,HU Service Center
Student Misconduct 19-0172,,02/04/19 2:35pm,02/04/19 2:30pm,Administration Building
Destruction of Property 19-0173,,02/04/19 3:18pm,02/04/19 2:38pm,Howard University Hospital
Suspicious Odor 19-0174,,02/04/19 3:59pm,02/04/19 3:59pm,Locke Hall
Simple Assault 19-0175,,02/05/19 2:02am,02/05/19 12:40am,Howard University Hospital
Injured Person 19-0176,,02/05/19 10:35am,02/04/19 7:05am,Howard University Hospital
Damaged Property 19-0177,,02/05/19 10:51am,02/05/19 10:51am,Wonder Plaza Lot
Disorderly Conduct 19-0178,,02/05/19 11:04am,02/05/19 11:04am,Howard Center 2
Allegation of an Active Shoote1r9-0179,,02/05/19 4:02pm,02/05/19 4:02pm,Off Campus
Sexual Assault 19-0180,,02/06/19 12:59pm,02/06/19 10:00am,2300 Block Georgia Ave. NW
Student Misconduct 19-0181,,02/06/19 12:51pm,02/06/19 12:51pm,Howard Plaza Towers West
Injured Person 19-0182,,02/06/19 4:09pm,02/06/19 4:09pm,Law School
Fire Alarm Activation 19-0183,,02/06/19 4:05pm,02/06/19 4:05pm,Bethune Annex
Miscellaneous 19-0184,,02/06/19 6:12pm,02/06/19 3:11pm,Howard University Hospital
Sexual Assault 19-0185,,02/06/19 9:51pm,02/06/19 8:40pm,Howard University Hospital
Fraud 19-0186,,02/07/19 1:14pm,02/06/19 12:00pm,Bethune Annex
Student Misconduct 19-0187,,02/07/19 5:08pm,02/07/19 5:08pm,College Hall South
Hazardous Water Leak 19-0188,,02/07/19 11:26pm,02/07/19 11:00pm,HU Service Center
Theft 2 19-0189,,02/08/19 4:34am,02/08/19 4:00am,I-Lab
Sick Person 19-0190,,02/08/19 3:45pm,02/08/19 3:45pm,Fine Arts
Lost Property 19-0191,,02/08/19 3:47pm,02/05/19 9:45pm,Blackburn Center
Lost Property 19-0192,,02/08/19 3:54am,02/08/19 3:54am,Howard Plaza Towers East
Burglary 1 19-0193,,02/09/19 6:44am,02/09/19 6:44am,Howard Plaza Towers East
Burglary 1 19-0194,,02/10/19 7:28am,02/10/19 04:40am,Howard Plaza Towers East
Student Misconduct 19-0195,,02/10/19 11:51am,02/10/19 11:51am,College Hall South
Student Misconduct 19-0196,,02/10/19 7:25pm,02/10/19 3:42pm,Drew Hall
Burglary 1 19-0197,,02/11/19 5:34am,02/11/19 5:30am,Howard Plaza Towers East
Simple Assault 19-0198,,02/11/19 1:08pm,02/11/19 12:00pm,Howard University Hospital
Student Misconduct,19-0199,02/11/19 6:45pm,02/11/19 6:40pm,Howard Plaza Towers West
Fraud,19-0200,02/12/19 8:24am,2/8/19 12:00pm,Howard Plaza Towers West
Simple Assault,19-0201,02/12/19 10:00am,02/12/19 10:00am,Howard University Hospital
Student Misconduct,19-0202,02/12/19 12:50pm,02/12/19 12:50pm,College Hall South
Found Property,19-0203,02/13/19 8:09am,02/13/19 8:09am,Founders Library
Hazardous Elevator,19-0204,02/13/19 10:11am,02/13/19 10:11am,CB Powell Building
Fire Alarm Activation,19-0205,02/13/19 8:39am,02/13/19 8:39am,HURB 1
Found Property,19-0206,02/14/19 12:45pm,02/14/19 12:45pm,Founders Library
Sick Person,19-0207,02/14/19 5:08pm,02/14/19 5:08pm,College Hall South
Hazardous Elevator,19-0208,02/14/19 11:35pm,02/14/19 11:35pm,College Hall North
Threats,19-0209,02/15/19 5:56am,02/15/19 5:56am,Howard University Hospital
Sick Person,19-0210,02/15/19 12:21pm,02/15/19 12:21pm,College of Dentistry
Found Property,19-0211,02/16/19 1:12am,02/16/19 12:30am,HU Service Center
Injured Person,19-0212,02/16/19 5:17pm,02/16/19 3:50pm,Howard University Hospital
Theft From Auto,19-0213,02/16/19 5:00pm,02/16/19 4:20pm,600 Block Girard Street NW
Theft 1,19-0214,02/16/19 4:56pm,02/16/19 4:30pm,Fine Arts
Sick Person,19-0215,02/17/19 6:48pm,02/17/19 6:48pm,College Hall South
Student Misconduct,19-0216,02/17/19 6:33pm,02/17/19 6:25pm,Howard Plaza Towers West
Hazardous Water Leak,19-0217,02/17/19 11:57pm,02/17/19 11:57pm,Stokes Library
Fire Alarm Activation,19-0218,02/18/19 2:06pm,02/18/19 2:06pm,Pharmacy
Fire Alarm Activation,19-0219,02/18/19 5:16pm,02/18/19 5:16pm,Bethune Annex
Fire Alarm Activation,19-0220,02/18/19 7:29pm,02/18/19 7:29pm,Pharmacy
Fire Alarm Activation,19-0221,02/19/19 9:00am,02/19/19 9:00am,Pharmacy
Fraud,19-0222,02/19/19 12:17pm,02/13/19 12:00pm,Blackburn Center
Destruction of Property,19-0223,02/19/19 11:18am,02/19/19 10:45am,Adams Building
Suspicious Person,19-0224,02/19/19 12:03pm,02/19/19 12:03pm,Biology Building
Fraud,19-0225,02/19/19 1:38pm,02/17/19 12:00pm,Off Campus
Injured Person,19-0226,02/19/19 2:32pm,02/19/19 2:32pm,Blackburn Center
Disorderly Conduct,19-0227,02/19/19 3:12pm,02/19/19 2:24pm,Law School
Sick Transport,19-0228,02/19/19 8:04pm,02/19/19 8:04pm,CB Powell Building
Fire Alarm Activation,19-0229,02/19/19 8:13pm,02/19/19 8:13pm,Bethune Annex
Sick Person,19-0230,02/19/19 9:56pm,02/19/19 9:56pm,Howard University Hospital
Suspicious Odor,19-0231,02/19/19 10:08pm,02/19/19 10:08pm,College Hall North
Found Property,19-0232,02/19/19 10:04pm,02/19/19 10:04pm,Howard University Hospital
Fraud,19-0233,02/20/19 9:48am,02/01/19 2:32pm,Mudd Building
Fire Alarm Activation,19-0234,02/20/2019 11:11am,02/20/2019 11:11am,Howard University Hospital
Lost Property,19-0235,02/20/2019 6:09pm,02/18/2019 12:00pm,Howard University Hospital
Simple Assault,19-0236,02/21/2019 8:50am,02/21/2019 8:50am,Howard University Hospital
Sick Person,19-0237,02/21/2019 9:57am,02/21/2019 9:57am,Founders Library
Destruction of Property,19-0238,02/21/2019 11:31am,02/21/2019 10:00am,Howard Plaza Towers West
Student Misconduct,19-0239,02/21/2019 12:25pm,02/21/2019 12:01pm,College Hall North
Fire Alarm Activation,19-0240,02/21/2019 12:30pm,02/21/2019 12:30pm,Bethune Annex
Fire Alarm Activation,19-0241,02/21/2019 6:45pm,02/21/2019 6:45pm,College Hall North
Student Misconduct,19-0242,02/21/2019 8:37pm,02/21/2019 4:44pm,College Hall North
Student Misconduct,19-0243,02/21/2019 5:26pm,02/21/2019 5:26pm,College Hall North
Suspicious Odor,19-0244,02/22/2019 2:42am,02/22/2019 2:42am,Social Work
Domestic Violence,19-0245,02/22/2019 1:25pm,02/22/2019 1:00pm,Off Campus
Student Misconduct,19-0246,02/22/2019  10:01pm,2/22/2019  10:01pm,Bethune Annex
Sick Person,19-0247,02/22/2019 11:53pm,02/22/2019 11:53pm,College Hall North
Fire Alarm Activation,19-0248,02/23/2019 3:46pm,02/23/2019 3:43pm,Bookstore
Damaged Property,19-0249,02/23/2019 7:41pm,02/23/2019 4:00pm,I-Lab
Fire Alarm Activation,19-0250,02/24/2019 2:18pm,02/24/2019 2:18pm,College Hall South
Student Misconduct,19-0251,02/24/2019 5:38pm,02/24/2019 5:17pm,Drew Hall
Fire Alarm Activation,19-0252,02/24/2019 8:22pm,02/24/2019 8:22pm,Bethune Annex
Student Misconduct,19-0253,02/24/2019 8:17pm,02/24/2019 8:00pm,College Hall South
Fire Alarm Activation,19-0254,02/25/2019 2:51am,02/25/2019 2:51am,College Hall South
Found Property,19-0255,02/25/2019 9:55am,02/25/2019 7:15am,Howard University Hospital
Student Misconduct,19-0256,02/25/2019 8:58pm,02/25/2019 8:58pm,Howard Plaza Towers East
Lost Property,19-0257,02/25/2019 10:34pm,02/25/2019 9:00pm,Howard University Hospital
Student Misconduct,19-0258,02/26/2019 9:57am,01/31/2019 12:00pm,Off Campus
Injured Person,19-0259,02/26/2019 1:23pm,02/26/2019 12:29pm,Howard University Hospital
Damaged Property,19-0260,02/26/2019 1:31pm,02/26/2019 1:00pm,Howard University Hospital
Found Property,19-0261,02/26/2019 5:12pm,02/26/2019 5:12pm,Founders Library
Sick Person,19-0262,02/26/2019 4:34pm,02/26/2019 4:34pm,School of Business
Harassment,19-0263,02/26/2019 5:36pm,02/26/2019 5:36pm,2nd & W Street NW
Fire Alarm Activation,19-0264,02/27/2019 7:21am,02/27/2019 7:21am,Bethune Annex
Theft 1,19-0265,02/27/2019 12:16pm,02/22/2019 12:00pm,Howard University Hospital
Fraud,19-0266,02/27/2019 1:39pm,02/27/2019 11:40am,Howard Plaza Towers East
Threats to do Bodily Harm,19-0267,02/27/2019 5:50pm,02/27/2019 4:15pm,Howard University Hospital
Miscellaneous,19-0268,02/27/2019 8:45pm,02/27/2019 8:45pm,Howard Plaza Towers West
Unlawful Entry,19-0269,02/28/2019 2:15am,02/28/2019 1:50am,Howard Plaza Towers West
Injured Person,19-0270,02/28/2019 4:04am,02/28/2019 4:04am,Administration Building
Fire Alarm Activation,19-0271,02/28/2019 8:50am,02/28/2019 8:50am,HU Service Center
Damaged Property,19-0272,02/28/2019 10:03am,02/28/201 6:45am,HU Service Center
Sick Transport,19-0273,02/28/2019 2:19pm,02/28/2019 2:19pm,Medical Arts Building
Damaged Property,19-0274,02/28/2019 2:50pm,02/28/2019 2:50pm,Architecture and Planning
Fire Alarm Activation,19-0275,02/28/2019 6:43pm,02/28/2019 6:43pm,College Hall South
Student Misconduct,19-0276,02/28/2019 7:29pm,02/28/2019 6:43pm,College Hall South
Injured Person,19-0277,03/01/2019 7:03pm,03/01/2019 6:34pm,Howard University Hospital
Hazardous Water Leak,19-0278,03/01/2019 5:25pm,03/01/2019 5:25pm,College of Dentistry
Sick Transport,19-0279,03/02/2019 9:49am,03/02/2019 9:49am,Howard Plaza Towers East
Harassment,19-0280,03/02/2019 5:40pm,03/02/2019 5:40pm,Howard Center
Harassment,19-0281,03/03/2019 3:42am,03/03/2019 3:42am,Bethune Annex
Sick Person,19-0282,03/03/2019 4:59am,03/03/2019 4:59am,Howard Plaza Towers East
Vehicle Accident,19-0283,03/03/2019 9:30am,03/03/2019 9:20am,6th & Bryant Street NW
Fire Alarm Activation,19-0284,03/03/2019 3:31pm,03/03/2019 3:31pm,Bethune Annex
Lost Property,19-0285,03/03/2019 3:58pm,03/03/2019 3:58pm,Off Campus
Sick Person,19-0286,03/03/2019 5:18pm,03/03/2019 5:18pm,Howard Center
Miscellaneous,19-0287,03/03/2019 7:47pm,03/03/2019 7:47pm,College Hall South
Sick Transport,19-0288,03/03/2019 11:41pm,03/03/2019 11:41pm,Drew Hall
B & E Vending Machine,19-0289,03/04/2019 1:17am,03/04/2019 1:17am,College Hall South
Student Misconduct,19-0290,03/04/2019 10:09am,03/04/2019 10:09am,College Hall South
Miscellaneous,19-0291,03/04/2019 12:38pm,03/04/2019 12:38pm,School of Business
Burglary 2,19-0292,03/04/2019 6:07pm,03/04/2019 6:07pm,Howard Plaza Towers West
Hazardous Water Leak,19-0293,03/04/2019 9:18pm,03/04/2019 9:18pm,CB Powell Building
Unlawful Entry,19-0294,03/05/2019 1:59am,03/05/2019 1:59am,Chemistry Building
Found Property,19-0295,03/05/2019 8:15am,03/05/2019 8:15am,School of Business
Damaged Property,19-0296,03/05/2019 11:33am,03/05/2019 11:31am,HU Service Center
Theft 2,19-0297,03/05/2019 2:19pm,03/05/2019 2:19pm,East Campus
Sick Person,19-0298,03/05/2019 8:10pm,03/05/2019 8:10pm,I-Lab
Theft From Auto,19-0299,03/05/2019 9:01pm,03/05/2019 9:01pm,Upper Campus
Harassment,19-0300,03/05/201911:21pm,03/05/2019 10:00pm,College Hall South
Vehicle Accident,19-0301,03/06/2019 10:55am,03/06/2019 10:55am,8th & Barry Place
Theft 1,19-0302,03/06/2019 1:19pm,03/04/2019 6:00pm,College Hall North
Stalking,19-0303,03/06/2019 1:06pm,03/06/2019 10:18am,College Hall South
Student Misconduct,19-0304,03/06/2019 3:03pm,03/06/2019 3:03pm,College Hall South
