report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2016-01-08,theft, a student reported the theftof a bicycle.,16-000006,2016-01-08,2045,lauinger library,case closed: no leads,2016,2016
2016-01-13,drug violation, officersinvestigating a suspicious odorrecovered drugs and drugparaphernalia.,16-000012,2016-01-13,0002,darnall hall,referred to studentconduct,2016,2016
2016-01-13,theft, a non affiliate reported thetheft of an unattended cell phone.,16-000013,2015-10-28,1700,leavey center,case closed: no leads,2015,2016
2016-01-13,drug violation, an officerinvestigating a suspicious odormade contact with a student whoadmitted to smoking a controlledsubstance. drug paraphernalia wasrecovered.,16-000014,2016-01-13,2335,harbin hallexterior,referred to studentconduct,2016,2016
2016-01-15,drug violation/alcoholviolation/defacement of property,"officers responding to a fire alarmactivation recovered drugs, drugparaphernalia and alcoholicbeverages. vandalism was alsoobserved and documented.",16-000024,2016-01-15,2322,harbin hall,referred to studentconduct,2016,2016
2016-01-17,theft, a taxi driver reported theft ofservice.,16-000034,2016-01-17,2047,37th & o st,unfounded: fare wassubsequently paid,2016,2016
2016-01-17,drinking in public, an officer madecontact with a student who wasdrinking in public.,16-000036,2016-01-17,2350,harbin hallexterior,referred to studentconduct,2016,2016
2016-01-17,alcohol violation, underagedstudents were found in possessionof alcoholic beverages.,16-000037,2016-01-17,2349,darnall hall,referred to studentconduct,2016,2016
2016-01-18,drug violation, officers recovereddrugs and drug paraphernalia fromthe listed location.,16-000038,2016-01-18,0045,henle village,referred to studentconduct,2016,2016
2016-01-18,drug violation, an officer onroutine patrol made contact withstudents who were smoking acontrolled substance on therooftop of the listed building.,16-000042,2016-01-18,0155,lxr,referred to studentconduct,2016,2016
2016-01-20,theft, a student reported the theftof a purse from an unattendedbackpack.,16-000060,2016-01-20,1200,icc,case closed: no leads,2016,2016
2016-01-21,fraud, a student reportedfraudulent purchases were madeon campus utilizing her lost gocard.,16-000061,2016-01-21,0738,village c west,case pending investigation,2016,2016
2016-01-23,drug violation/alcohol violation,officers recovered drugparaphernalia and alcoholicbeverages from underagedstudents in the listed building.,16-000074,2016-01-23,0153,new south,referred to studentconduct,2016,2016
2016-01-23,drug violation, drug paraphernaliawas recovered from the listedbuilding.,16-000075,2016-01-23,0206,new south,referred to studentconduct,2016,2016
2016-01-24,stolen auto, an employee reportedthe theft of a car from the loadingdock area of the listed building.,16-000081,2016-01-24,1255,regents hall,mpd responded and ishandling the investigation,2016,2016
2016-01-27,drug violation, officersinvestigating a suspicious odorrecovered drugs and drugparaphernalia.,16-000087,2016-01-27,0145,lxr,referred to studentconduct,2016,2016
2016-01-27,theft, an affiliate reported the theftof 3 bottles of alcohol from behindthe bar of the businessestablishment.,16-000088,2016-01-24,1044,darnall hallepicureanrestaurant,case closed: no leads,2016,2016
2016-01-27,unlawful entry, a non-affiliate whowas previously barred from campuswas observed by officers outside ofthe listed building.,16-000092,2016-01-27,2255,village c west,case closed with arrest,2016,2016
2016-01-27,domestic violence simple assault,a student reported being assaultedby her boyfriend.,16-000093,2016-01-27,2244,village c west,case closed with arrest,2016,2016
2016-01-30,alcohol violation, an underagedstudent was found in possession ofan alcoholic beverage.,16-000107,2016-01-30,0008,lauinger library,referred to studentconduct,2016,2016
2016-02-03,theft, faculty reported the theft ofa parking pass.,16-000142,2016-02-02,2100,hariri buildingparking garage,case closed: no leads,2016,2016
2016-02-03,drug violation, officers recovereddrugs and drug paraphernalia fromthe listed location.,16-000145,2016-02-03,2245,village a,referred to studentconduct,2016,2016
