report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition
"january 8, 2016",theft, a student reported the theftof a bicycle.,16-000006,"january 8, 2016",2045,lauinger library,case closed: no leads
"january 13, 2016",drug violation, officersinvestigating a suspicious odorrecovered drugs and drugparaphernalia.,16-000012,"january 13, 2016",0002,darnall hall,referred to studentconduct
"january 13, 2016",theft, a non affiliate reported thetheft of an unattended cell phone.,16-000013,"october 28, 2015",1700,leavey center,case closed: no leads
"january 13, 2016",drug violation, an officerinvestigating a suspicious odormade contact with a student whoadmitted to smoking a controlledsubstance. drug paraphernalia wasrecovered.,16-000014,"january 13, 2016",2335,harbin hallexterior,referred to studentconduct
"january 15, 2016",drug violation/alcoholviolation/defacement of property,"officers responding to a fire alarmactivation recovered drugs, drugparaphernalia and alcoholicbeverages. vandalism was alsoobserved and documented.",16-000024,"january 15, 2016",2322,harbin hall,referred to studentconduct
"january 17, 2016",theft, a taxi driver reported theft ofservice.,16-000034,"january 17, 2016",2047,37th & o st,unfounded: fare wassubsequently paid
"january 17, 2016",drinking in public, an officer madecontact with a student who wasdrinking in public.,16-000036,"january 17, 2016",2350,harbin hallexterior,referred to studentconduct
"january 17, 2016",alcohol violation, underagedstudents were found in possessionof alcoholic beverages.,16-000037,"january 17, 2016",2349,darnall hall,referred to studentconduct
"january 18, 2016",drug violation, officers recovereddrugs and drug paraphernalia fromthe listed location.,16-000038,"january 18, 2016",0045,henle village,referred to studentconduct
"january 18, 2016",drug violation, an officer onroutine patrol made contact withstudents who were smoking acontrolled substance on therooftop of the listed building.,16-000042,"january 18, 2016",0155,lxr,referred to studentconduct
"january 20, 2016",theft, a student reported the theftof a purse from an unattendedbackpack.,16-000060,"january 20, 2016",1200,icc,case closed: no leads
"january 21, 2016",fraud, a student reportedfraudulent purchases were madeon campus utilizing her lost gocard.,16-000061,"january 21, 2016",0738,village c west,case pending investigation
"january 23, 2016",drug violation/alcohol violation,officers recovered drugparaphernalia and alcoholicbeverages from underagedstudents in the listed building.,16-000074,"january 23, 2016",0153,new south,referred to studentconduct
"january 23, 2016",drug violation, drug paraphernaliawas recovered from the listedbuilding.,16-000075,"january 23, 2016",0206,new south,referred to studentconduct
"january 24, 2016",stolen auto, an employee reportedthe theft of a car from the loadingdock area of the listed building.,16-000081,"january 24, 2016",1255,regents hall,mpd responded and ishandling the investigation
"january 27, 2016",drug violation, officersinvestigating a suspicious odorrecovered drugs and drugparaphernalia.,16-000087,"january 27, 2016",0145,lxr,referred to studentconduct
"january 27, 2016",theft, an affiliate reported the theftof 3 bottles of alcohol from behindthe bar of the businessestablishment.,16-000088,"january 24, 2016",1044,darnall hallepicureanrestaurant,case closed: no leads
"january 27, 2016",unlawful entry, a non-affiliate whowas previously barred from campuswas observed by officers outside ofthe listed building.,16-000092,"january 27, 2016",2255,village c west,case closed with arrest
"january 27, 2016",domestic violence simple assault,a student reported being assaultedby her boyfriend.,16-000093,"january 27, 2016",2244,village c west,case closed with arrest
"january 30, 2016",alcohol violation, an underagedstudent was found in possession ofan alcoholic beverage.,16-000107,"january 30, 2016",0008,lauinger library,referred to studentconduct
"february 3, 2016",theft, faculty reported the theft ofa parking pass.,16-000142,"february 2, 2016",2100,hariri buildingparking garage,case closed: no leads
"february 3, 2016",drug violation, officers recovereddrugs and drug paraphernalia fromthe listed location.,16-000145,"february 3, 2016",2245,village a,referred to studentconduct
