nature_classification,case_number,date_reported,date_occurred,time,general_location,off_campus_y_or_n,disposition
Sexual Assault,"NA-01-2021",NA,NA,Unknown,Off Campus,Y,Closed. No further action.
Fondling,"NA-02-2021",NA,NA,Unknown,Unknown,N,Closed. No further action.
Stalking,"NA-03-2021",NA,NA,Unknown,Unknown,Unknown,Closed. No further action.
Sexual Assault,"NA-04-2021",NA,NA,Unknown,Unknown,Unknown,Closed. No further action.
Fondling,"NA-05-2021",NA,NA,Unknown,Unknown,N,Closed. No further action.
"Simple Assault(Dating Violence)","NA-06-2021",NA,NA,Unknown,Off Campus,Y,Closed. No further action.
Fondling,"NA-07-2021",NA,NA,Unknown,Unknown,Unknown,Closed. No further action.
Stalking,"NA-08-2021",NA,NA,Unknown,Unknown,N,Closed. No further action.
Sexual Assault,"NA-09-2021",NA,NA,Unknown,District House,N,Closed. No further action.
Theft II/From Building,2100064,NA,NA,1135,"7-Eleven Store(912 New Hampshire Ave. N.W.)",Y,Closed. No further action.
Sexual Assault,2100067,NA,NA,1930,Off Campus,Y,Closed. Off campus incident.
Panhandling,2100069,NA,NA,1323,"Public Property on Campus (2300Block of G Street, N.W.)",N,Closed. No further action.
"Destruction ofProperty/Vandalism",2100073,NA,NA,Unknown,Lisner Auditorium,N,Closed. No identifiable subject.
Disorderly Conduct,2100076,NA,NA,1400,"1959 E Street N.W.(SecreTea Market)",N,Closed. No identifiable subject.
"Destruction ofProperty/Vandalism",2100080,NA,NA,Unknown,Ross Hall,N,Closed. No suspects or witnesses.
"Fondling, Simple Assault","NA-10-2021",NA,NA,Unknown,Mitchell Hall,N,Closed. No further action.
Fondling,"NA-11-2021",NA,NA,Unknown,"605 22nd Street, N.W.",N,Closed. No further action.
Fondling,"NA-12-2021",NA,NA,Unknown,Unknown,N,Closed. No further action.
Liquor Law Violation,2100096,NA,NA,0114,Potomac House,N,Closed. Referred to DSA.
Liquor Law Violation,2100097,NA,NA,0108,Potomac House,N,Closed. Referred to DSA.
Liquor Law Violation,2100099,NA,NA,0053,Potomac House,N,Closed. Referred to DSA.
