natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Student Misconduct,13-0027,2001-10-13,1330,2001-10-13,1330,Meridian Hill,Inactive,2001,2001
Suspicious Package,13-0028,2001-10-13,1600,2001-10-13,1600,Plaza Towers,Inactive,2001,2001
Student Misconduct,13-0029,2001-10-13,2300,2001-10-13,2257,Carver Hall,Inactive,2001,2001
Student Misconduct,13-0030,2001-11-13,0800,2001-11-13,0800,Plaza Towers,Active,2001,2001
Student Misconduct,13-0031,2001-11-13,0800,2001-11-13,0800,Arch. & Planning,Active,2001,2001
Stalking,13-0032,2001-11-13,1330,2001-11-13,1030,Plaza Towers,Active,2001,2001
Disorderly,13-0033,2001-11-13,1330,2001-11-13,1030,Dental School,Active,2001,2001
Injured Person,13-0034,2001-11-13,1550,2001-11-13,1450,Rankin Chapel,Inactive,2001,2001
Injured Person,13-0035,2001-11-13,1543,2001-11-13,1543,Engineering Bldg.,Inactive,2001,2001
Poss. Of Marijuana,13-0036,2001-11-13,1642,2001-11-13,1635,Plaza Towers,Active,2001,2001
Student Misconduct,13-0037,2001-11-13,2255`,2001-11-13,2255,Carver Hall,Active,2001,2001
Student Misconduct,13-0038,2001-12-13,2240,2001-12-13,2215,4th & W St. NW,Active,2001,2001
Sick Person,13-0039,NA,0036,NA,0005,Meridian Hill,Inactive,NA,NA
Hazardous Water,13-0040,NA,0850,NA,0850,Douglass Hall,Inactive,NA,NA
Lost Property,13-0041,NA,1435,NA,2335,420 Elm St. NW,Inactive,NA,NA
Injured Person,13-0042,NA,1428,NA,1428,Greene Stadium,Inactive,NA,NA
Lost Property,13-0043,NA,2330,NA,2301,Unknown,Inactive,NA,NA
Hazardous Elevator,13-0044,NA,0800,NA,0800,Plaza Towers,Inactive,NA,NA
Damaged Property,13-0045,NA,1400,NA,1400,600 blk Gresham Pl. NW,Inactive,NA,NA
Sick Transport,13-0046,NA,0800,NA,0800,Student Health Center,Inactive,NA,NA
Sick Transport,13-0047,NA,1720,NA,1643,Student Health Center,Inactive,NA,NA
Theft I,13-0048,NA,1850,NA,1830,501 W St. NW,Active,NA,NA
Sick Transport,13-0049,NA,1033,NA,1008,Student Health,Inactive,NA,NA
Lost Property,13-0050,NA,1415,NA,1420,Bethune Annex,Inactive,NA,NA
Sick Transport,13-0051,NA,1555,NA,1555`,Student Health,Inactive,NA,NA
Sick Transport,13-0052,NA,1713,NA,1648,Student Health,Inactive,NA,NA
Injured Person,13-0053,NA,1750,2001-09-13,1730,West Campus,Inactive,NA,2001
Student Misconduct,13-0054,NA,1800,NA,1400,Drew Hall,Inactive,NA,NA
Theft from Auto,13-0055,NA,1800,NA,1730,"2400 Blk Ga. Ave., NW",Active,NA,NA
Theft II,13-0056,NA,2100,NA,1230,Main Yard,Active,NA,NA
Theft I,13-0057,NA,2100,NA,2000,Blackburn Center,Active,NA,NA
Unlawful Entry,13-0058,NA,0300,NA,0117,Plaza Towers,Active,NA,NA
Stolen Auto,13-0059,NA,1155,NA,1130,15th St. &Girard St NW,Active,NA,NA
Theft I,13-0060,NA,0800,NA,0800,Howard Campus,Active,NA,NA
Lost Property,13-0061,NA,1601,NA,1500,C. B. Powell Lot,Inactive,NA,NA
SickTransport,13-0062,NA,1620,NA,1600,Student health Ctr.,Inactive,NA,NA
Threat to do bodily Harm,13-0063,NA,1915,NA,1730,Blackburn Center,Active,NA,NA
Health wellness Check,13-0064,NA,1835,NA,1835,Drew Hall,Inactive,NA,NA
Credit Card Fraud,13-0065,NA,1815,NA,1815,HU Bookstore,Active,NA,NA
Miscellaneoous,13-0066,NA,2130,NA,1905,Carver Hall,Inactive,NA,NA
Sick Person,13-0067,NA,2320,NA,2230,Rankin Chapel,Inactive,NA,NA
Theft II,13-0068,NA,2200,NA,2200,Quadrangle Hall,Active,NA,NA
Lost Property,13-0069,NA,1120,NA,1030,I-LAB,Inactive,NA,NA
